index,word,PKL_D,PKL_R,valence,google_sentiment,pattern_sentiment,crr
79,inferior,1.4573537223667084e-06,-1.1009498615940643e-06,NEG,-0.30000001192092896,0.0,3.43
80,joy,-5.161524854567747e-06,5.793452749227429e-06,POS,0.20000000298023224,0.8,8.21
81,plentiful,-7.541500824925737e-07,1.186913616381389e-06,POS,0.30000001192092896,0.0,
82,qualified,2.9394952142503687e-06,-2.869876185493932e-06,POS,0.30000001192092896,0.0,6.77
83,cry,6.975164296256451e-06,-5.725682098194485e-06,NEG,0.0,0.0,3.22
84,famous,-5.463072283298159e-06,6.084388751284447e-06,POS,0.4000000059604645,0.5,5.89
85,clever,1.702133021982574e-06,-1.4780080901823833e-06,POS,0.20000000298023224,0.16666666666666666,7.36
86,blame,-6.987536201098308e-06,7.551636961365775e-06,NEG,0.0,0.0,2.94
87,bitter,3.7298936535804016e-06,-2.457320638360565e-06,NEG,0.0,-0.1,3.63
88,accurate,-1.5294688606272e-05,1.8113523743489432e-05,POS,0.5,0.4000000000000001,7.42
89,superior,-7.087520219955569e-07,7.198734015068676e-07,POS,0.20000000298023224,0.7,6.37
90,sorrow,2.2971798854246507e-07,-2.257233760642471e-07,NEG,0.4000000059604645,0.0,2.95
91,scarce,-5.426499324286428e-06,6.8950474102322495e-06,NEG,0.10000000149011612,0.0,3.37
92,unqualified,1.0804687532031968e-07,-1.0305987153700042e-07,NEG,-0.6000000238418579,0.0,3.48
93,laugh,-1.9277314473351888e-06,2.1888743571412194e-06,POS,0.30000001192092896,0.3,7.56
94,unknown,-7.303292134337935e-06,8.804093476997355e-06,NEG,0.0,-0.1,4.85
95,stupid,-8.217979660041192e-06,1.1424863250179489e-05,NEG,-0.6000000238418579,-0.7999999999999999,2.84
96,praise,-8.905437225689212e-06,1.2041707179990218e-05,POS,0.4000000059604645,0.0,7.65
97,sweet,-8.050184080114467e-06,1.6278675172555623e-05,POS,0.4000000059604645,0.35,7.77
98,inaccurate,-2.9709612863376138e-06,3.3570031305648883e-06,NEG,-0.5,0.0,3.35
