,0,1,DPKL_1,RPKL_1,DPKL_2,RPKL_2,DIFF1,DIFF2,DIFF_SQ
0,inferior,superior,3.186451305507127e-07,-2.70565203361023e-07,1.3661391239101085e-07,-1.356470256398322e-07,5.892103339117357e-07,2.7226093803084306e-07,4.212948359658136e-13
1,joy,sorrow,-8.340573673446902e-07,8.707872273535446e-07,1.3086961038374385e-07,-1.2774938896913343e-07,-1.7048445946982348e-06,2.5861899935287725e-07,2.9733788788980722e-12
2,plentiful,scarce,-1.627745880475234e-07,2.0615910810109847e-07,-1.0646300960464295e-06,1.1834981920141704e-06,-3.689336961486219e-07,-2.2481282880606e-06,5.1901928717321674e-12
3,qualified,unqualified,1.3819975021711452e-06,-1.3453694670779937e-06,3.764940365449942e-08,-3.6047799942179726e-08,2.727366969249139e-06,7.369720359667915e-08,7.443961862769203e-12
4,cry,laugh,1.6132890740232587e-06,-1.438812572447823e-06,-3.2162279536960973e-07,3.378582840190156e-07,3.052101646471082e-06,-6.594810793886254e-07,9.750239754463075e-12
5,famous,unknown,-8.591848236116463e-07,8.935068069255476e-07,-1.3593401020374207e-06,1.4711154092967244e-06,-1.752691630537194e-06,-2.830455511334145e-06,1.1083406353396965e-11
6,clever,stupid,4.211049624100647e-07,-3.8590485809261535e-07,-1.7101469828155008e-06,1.9893667149347467e-06,8.070098205026801e-07,-3.6995136977502475e-06,1.4337666450229477e-11
7,blame,praise,-9.30621380346887e-07,9.532658592366631e-07,-1.8249391353744628e-06,2.0930004269839907e-06,-1.88388723958355e-06,-3.917939562358454e-06,1.889928154575928e-11
8,bitter,sweet,7.594759740952397e-07,-6.024750860990108e-07,-1.9077048581871253e-06,2.693551021077911e-06,1.3619510601942507e-06,-4.601255879265036e-06,2.30264663568353e-11
9,accurate,inaccurate,-2.779799372286789e-06,2.9811330112133483e-06,-4.895452830602824e-07,5.128908087215004e-07,-5.760932383500137e-06,-1.0024360917817827e-06,3.4193220045367307e-11
10,approve,disapprove,-2.6005556914848133e-06,2.7372803904469414e-06,-1.1159994249354768e-06,1.276590176206053e-06,-5.337836081931755e-06,-2.3925896011415295e-06,3.4216979037063126e-11
11,useful,useless,3.358084159955795e-06,-2.863420136560557e-06,2.911085555167145e-07,-2.6881662313464994e-07,6.221504296516352e-06,5.599251786513645e-07,3.902063191725919e-11
12,foolish,wise,3.456306220064958e-06,-2.603313254729582e-06,1.0099109684119122e-06,-9.747821500092574e-07,6.0596194747945394e-06,1.98469311842117e-06,4.0657994953617596e-11
13,rapid,slow,1.2885039489319039e-07,-1.2818548609243707e-07,3.3108638045193264e-06,-3.085089199135669e-06,2.5703588098562746e-07,6.3959530036549955e-06,4.097428226907741e-11
14,disloyal,loyal,-6.748099034895086e-15,6.251632454322045e-07,-2.876265907970836e-06,4.206939507809242e-06,-6.251632521803035e-07,-7.0832054157800784e-06,5.056262805401289e-11
15,beautiful,ugly,-2.2331608299025777e-06,2.3301447071022144e-06,3.125669254456569e-06,-2.4169064809206718e-06,-4.563305537004792e-06,5.54257573537724e-06,5.1543903206451144e-11
16,advantage,disadvantage,5.0492266183130825e-06,-4.7455377145859545e-06,-6.714278303974811e-07,7.003691787126696e-07,9.794764332899037e-06,-1.3717970091101507e-06,9.781923537123467e-11
17,ignorance,knowledge,-1.3215069345792063e-06,1.6436451274288392e-06,4.891149690206888e-06,-4.5806245133876126e-06,-2.9651520620080455e-06,9.471774203594501e-06,9.850663331470882e-11
18,careful,careless,5.7102532702093614e-06,-4.768508621930731e-06,3.3341126921811846e-07,-2.627639160784457e-07,1.0478761892140093e-05,5.961751852965642e-07,1.1015987564373082e-10
19,powerful,weak,5.577670702624009e-06,-5.223826796843835e-06,-1.8736898389245607e-06,2.0378251705385844e-06,1.0801497499467844e-05,-3.911515009463145e-06,1.3197229790026557e-10
20,brave,cowardly,-7.076158835005553e-06,7.714923139986563e-06,2.877140111020055e-07,-2.673637503880447e-07,-1.4791081974992117e-05,5.550777614900502e-07,2.190842173122375e-10
21,insecure,secure,6.4669593374252125e-06,-2.442999970200875e-06,-6.3414280426581936e-06,6.596819504510767e-06,8.909959307626087e-06,-1.2938247547168962e-05,2.467856244553764e-10
22,courage,cowardice,8.358481259398034e-06,-7.6209297724073985e-06,3.6060845882403824e-07,-2.3344079293346918e-07,1.597941103180543e-05,5.940492517575075e-07,2.556944714368988e-10
23,abundant,scarce,-5.37331180922821e-06,1.0564322178179728e-05,-1.0646300960464295e-06,1.1834981920141704e-06,-1.5937633987407938e-05,-2.2481282880606e-06,2.5906225791615897e-10
24,alive,dead,-8.16028486562817e-06,1.0112173112893057e-05,3.584796502414601e-06,-3.3769859079692562e-06,-1.8272457978521227e-05,6.961782410383857e-06,3.8234913490635406e-10
25,give,take,-1.0027752424558249e-05,1.0188346413365246e-05,2.5166414661881083e-06,-2.5115634715787242e-06,-2.0216098837923493e-05,5.0282049377668325e-06,4.339734971208744e-10
26,fortunate,unfortunate,3.834038709946235e-06,-3.421832687823595e-06,1.1072910993052065e-05,-8.61763634922917e-06,7.25587139776983e-06,1.9690547342281236e-05,4.4036532437959294e-10
27,far,near,1.004045555109593e-05,-9.753613104349085e-06,4.035219878471727e-06,-3.869923547615804e-06,1.9794068655445018e-05,7.905143426087531e-06,4.5429644652348585e-10
28,backward,forward,1.1694894313109579e-05,-3.277272308125262e-06,7.782752052201429e-06,-7.70230843363305e-06,1.497216662123484e-05,1.548506048583448e-05,4.6395287158397105e-10
29,fast,slow,1.1026895083265516e-05,-9.724046229154113e-06,3.3108638045193264e-06,-3.085089199135669e-06,2.075094131241963e-05,6.3959530036549955e-06,4.71509780176447e-10
30,cruel,kind,1.3763847562471277e-05,-7.727660345467988e-06,4.670340908283416e-06,-4.607092940385489e-06,2.1491507907939266e-05,9.277433848668904e-06,5.479556909734435e-10
31,agree,disagree,-3.329092441980553e-06,3.360764867201645e-06,-1.0839666873720849e-05,1.28082884669055e-05,-6.689857309182198e-06,-2.364795534062635e-05,6.039799826094767e-10
32,vice,virtue,-1.1766022246700603e-05,1.3932770498295908e-05,-1.1367666081950982e-06,1.2803715648893404e-06,-2.569879274499651e-05,-2.4171381730844386e-06,6.662705054980673e-10
33,dishonest,honest,4.2608046640364626e-07,-3.873102531540133e-07,-1.1959385128552552e-05,1.4714374427389372e-05,8.133907195576596e-07,-2.6673759555941926e-05,7.121510533108658e-10
34,fail,succeed,7.377467714299244e-06,-6.701971475608417e-06,1.2694369794576824e-05,-1.062029310668913e-05,1.4079439189907661e-05,2.3314662901265955e-05,7.418041141019747e-10
35,impossible,possible,1.529061525881977e-05,-1.2048628770184982e-05,3.6208692491105735e-06,-3.561256297244541e-06,2.733924402900475e-05,7.182125546355115e-06,7.990171914410786e-10
36,absent,present,7.942287289554401e-06,-6.34803715403229e-06,1.2513399006222882e-05,-1.1952770919078142e-05,1.429032444358669e-05,2.4466169925301023e-05,8.028068435166755e-10
37,capable,incapable,-1.2501576742538145e-05,1.6679062115230488e-05,8.835981460202101e-07,-6.529354539638326e-07,-2.9180638857768633e-05,1.5365335999840427e-06,8.538706196513967e-10
38,empty,full,1.0053111307185457e-06,-9.648191006251655e-07,-1.4401775160438731e-05,1.4916531851089895e-05,1.9701302313437112e-06,-2.9318307011528626e-05,8.63444539150703e-10
39,merry,sad,-6.465720779999291e-07,1.0318266386770217e-06,1.7930812805539186e-05,-1.3718989024071928e-05,-1.6783987166769507e-06,3.164980182961111e-05,1.0045269781057978e-09
40,pretty,ugly,-1.4964690939499186e-05,1.7654521739759554e-05,3.125669254456569e-06,-2.4169064809206718e-06,-3.261921267925874e-05,5.54257573537724e-06,1.0947331815971066e-09
41,failure,success,7.414972092360328e-06,-6.968467221187886e-06,-1.5563707331196425e-05,1.6981714559199028e-05,1.4383439313548214e-05,-3.2545421890395457e-05,1.266087812510356e-09
42,build,destroy,1.466764942138717e-05,-1.3754668197137294e-05,-1.2541182975951152e-05,1.5251557856079775e-05,2.8422317618524465e-05,-2.779274083203093e-05,1.5802645817647255e-09
43,offer,refuse,2.0817329022024873e-05,-1.927506576272505e-05,3.1779836998347647e-06,-3.0093796795413972e-06,4.009239478474992e-05,6.187363379376162e-06,1.645683585164688e-09
44,guilty,innocent,1.5451615067664475e-06,-1.4583895358309596e-06,-1.8418125517908545e-05,2.290840526725667e-05,3.003551042597407e-06,-4.1326530785165214e-05,1.7169034656026962e-09
45,happy,sad,-1.2869613583653658e-05,1.434115053719916e-05,1.7930812805539186e-05,-1.3718989024071928e-05,-2.721076412085282e-05,3.164980182961111e-05,1.742135639894346e-09
46,help,hinder,2.100675390894595e-05,-2.0647176591081507e-05,2.339933079233204e-06,-1.964762534847672e-06,4.1653930500027455e-05,4.3046956140808764e-06,1.7535803304310046e-09
47,loss,win,1.883361378932342e-05,-1.6798932034123156e-05,-1.0932163050039495e-05,1.2296284012876457e-05,3.563254582344658e-05,-2.3228447062915952e-05,1.809239074814709e-09
48,known,unknown,-2.077803480819041e-05,2.2486783159964174e-05,-1.3593401020374207e-06,1.4711154092967244e-06,-4.3264817968154586e-05,-2.830455511334145e-06,1.8798559522191938e-09
