index,word1,word2,PKL_D(word1),PKL_R(word1),PKL_D(word2),PKL_R(word2),DIFF_SQ,LOGP_D(word1),LOGP_R(word1),LOGP_D(word2),LOGP_R(word2),P_D(word1),P_R(word1),P_D(word2),P_R(word2),google_valence_word1,google_valence_word2,pattern_valence_word1,pattern_valence_word2,crr_valence_word1,crr_valence_word2
89,inferior,superior,-0.06136861281714773,-0.09239855860963841,-0.0846648837291339,-0.07191806878725486,8.585887828384015e-12,0.40460231582152234,-0.40460231582152223,-0.02246226747291601,0.02246226747291608,3.601941129297872e-06,2.7210666339332428e-06,3.155300429264936e-05,3.204811813299153e-05,-0.30000001192092896,0.20000000298023224,0.0,0.7,3.43,6.37
90,joy,sorrow,-0.13255405187668176,-0.014850811190224451,-0.0745717238429322,-0.08255407370414196,1.2021896113624873e-10,-0.166626073865805,0.16662607386580502,0.025308001627185148,-0.02530800162718519,3.09766937119617e-05,3.476918476692477e-05,9.076891645830638e-06,8.919051744558962e-06,0.20000000298023224,0.4000000059604645,0.8,0.0,8.21,2.95
91,plentiful,scarce,-0.08515313575421157,-0.06666483385708842,-0.13540382827720726,-0.002460153238788408,1.5558824221401415e-10,-0.6542913732320464,0.6542913732320463,-0.34553866709241704,0.3455386670924172,1.152621161375319e-06,1.814044422622162e-06,1.5704463323738724e-05,1.9954488648843782e-05,0.30000001192092896,0.10000000149011612,0.0,0.0,,3.37
92,qualified,unqualified,-0.045428315435690564,-0.11229531537200486,-0.075880285635524,-0.08117436337917072,3.379336211873573e-11,0.03457993273311519,-0.034579932733115104,0.06817465123904486,-0.06817465123904493,8.500581065142979e-05,8.29925323349639e-05,1.5848540968910638e-06,1.5117036855184682e-06,0.30000001192092896,-0.6000000238418579,0.0,0.0,6.77,3.48
93,cry,laugh,-0.0020250603128802755,-0.14441721600620405,-0.0977748969419053,-0.05539485111389118,1.782579424848862e-10,0.284779628125622,-0.28477962812562196,-0.18328506180797588,0.18328506180797588,2.449319967922553e-05,2.0105659017395628e-05,1.0517668097549786e-05,1.19424591155959e-05,0.0,0.30000001192092896,0.0,0.3,3.22,7.56
94,clever,stupid,-0.058736033640281946,-0.096639682594345,-0.1654259462261956,0.048490891317461135,3.959545750888886e-10,0.20368962189552578,-0.20368962189552595,-0.4753212321867269,0.4753212321867269,8.356503419971063e-06,7.256177690488648e-06,1.7289317420629786e-05,2.4036088599743646e-05,0.20000000298023224,-0.6000000238418579,0.16666666666666666,-0.7999999999999999,7.36,2.84
95,rapid,slow,-0.08930266514668543,-0.06694186565658018,0.05975613436636602,-0.20802023342728243,5.861081696438769e-10,-0.027958438091029634,0.027958438091029717,0.16051482338575554,-0.16051482338575535,4.0773973583651914e-05,4.1571851351757875e-05,7.924270484455319e-05,7.089890285081616e-05,0.5,-0.20000000298023224,0.0,-0.30000000000000004,4.57,4.0
96,famous,unknown,-0.13579716713585152,-0.01157838384933792,-0.1555885648083872,0.01901266036875435,3.927917275774547e-10,-0.15539982263455776,0.15539982263455768,-0.26962752299672116,0.2696275229967212,3.5154945421947234e-05,3.915312545492833e-05,2.708659729232e-05,3.265279960719891e-05,0.4000000059604645,0.0,0.5,-0.1,5.89,4.85
97,useful,useless,0.08970208866074375,-0.21091126268734725,-0.06472567258206482,-0.09138036210233967,7.413012816262695e-10,0.413880129409533,-0.41388012940953317,0.18064938049745743,-0.18064938049745766,3.746018774469787e-05,2.811768855064351e-05,6.339416387564255e-06,5.593303636418332e-06,0.4000000059604645,-0.6000000238418579,0.3,-0.5,7.1,2.8
98,disloyal,loyal,-0.08251028261747609,-0.014013610838759774,-0.20515456092020226,0.21064547036705658,1.4659640231340913e-09,-3.5287604911481876,3.5287604911481876,-1.117263349574592,1.117263349574592,1.4407764517191488e-07,1.662874054070315e-06,1.0661745742721702e-05,2.3129066388432564e-05,0.0,0.10000000149011612,0.0,0.3333333333333333,2.27,7.31
