,index,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,Condition,party,age,gender,party_identity,political_leanings,political_engagement,C-Span,education,voted,political_bubble
0,2,friend,particularly,recognize,measure,years,essentially,stated,incredible,mother,sensible,billion,immigrants,view,want,moreover,obamacare,morning,people,year,happy,seconds,manufacturers,reforms,willing,principles,underserved,problem,adopted,good,cities,woman,undermine,provides,undocumented,increases,tax,workers,parks,congress,support,lives,concerned,friends,patients,capacity,give,bringing,provide,supported,protect,globe,democracy,ensures,protecting,prices,project,consumers,children,policy,create,foundation,deficit,murder,leaving,difficult,comments,something,sex,homeowners,inventors,promises,war,require,questions,activities,borders,bridge,allies,businesses,agreement,hope,shutdown,fire,americans,lake,region,takes,encourage,inferior,joy,plentiful,qualified,laugh,clever,rapid,famous,useful,loyal,DEMOCRAT,Democrat,28,1,-2,-1.0,-2,False,3.0,1.0,75.0
1,3,friend,especially,recognize,measure,months,essentially,stated,incredible,mother,commonsense,billion,immigrants,view,wanted,additionally,aca,morning,people,week,pleased,seconds,companies,reforms,able,values,underserved,problems,passed,good,cities,woman,destroy,eliminates,undocumented,cuts,taxes,workers,parks,congress,support,lives,talking,colleagues,seniors,capability,give,bringing,provide,supported,defend,country,democracy,ensures,protecting,prices,program,consumers,children,policy,produce,institute,debt,rape,left,difficult,statement,something,sexual,homeowners,inventors,commitments,war,include,questions,activities,borders,bridge,allies,corporations,agreement,hope,shutdown,police,americans,lake,region,taking,encourage,superior,joy,plentiful,qualified,laugh,clever,rapid,famous,useful,loyal,DEMOCRAT,Democrat,28,0,1,-1.0,0,False,2.0,1.0,85.0
2,4,friend,especially,recognize,legislation,years,basically,stated,extraordinary,mother,sensible,trillion,aliens,view,want,additionally,obamacare,morning,folks,year,happy,seconds,companies,changes,willing,values,underserved,problems,passed,bad,counties,man,destroy,eliminates,illegal,increases,taxes,workers,forests,congress,oppose,lives,talking,friends,seniors,capacity,deny,brought,deliver,supported,defend,globe,freedom,ensure,defending,prices,program,taxpayers,babies,policies,produce,institute,debt,rape,left,tough,comments,nothing,sex,farmers,investors,commitments,wars,include,questions,activities,borders,fence,allies,corporations,agreement,believe,shutdown,police,hoosiers,lake,region,takes,encourage,inferior,joy,plentiful,unqualified,laugh,stupid,slow,unknown,useless,disloyal,REPUBLICAN,Democrat,38,1,2,-1.0,-1,False,2.0,1.0,75.0
3,6,colleague,particularly,acknowledge,legislation,months,basically,stated,incredible,father,commonsense,billion,aliens,view,want,moreover,obamacare,evening,folks,year,pleased,minutes,manufacturers,changes,able,principles,underserved,problems,passed,bad,counties,man,undermine,eliminates,illegal,cuts,taxes,workers,parks,congress,oppose,lives,concerned,colleagues,patients,capability,deny,brought,deliver,sponsored,defend,country,democracy,ensures,defending,prices,project,taxpayers,children,policies,create,foundation,deficit,rape,left,difficult,statement,nothing,sexual,homeowners,investors,commitments,war,require,question,programs,borders,fence,partners,corporations,treaty,believe,shutdown,police,hoosiers,lake,region,takes,enable,inferior,sorrow,plentiful,unqualified,cry,stupid,slow,unknown,useless,loyal,REPUBLICAN,Independent,33,1,0,0.0,-1,False,2.0,1.0,50.0
4,7,colleague,especially,recognize,legislation,years,basically,indicated,incredible,father,commonsense,trillion,aliens,opinion,want,additionally,obamacare,morning,folks,year,pleased,minutes,manufacturers,reforms,able,values,underserved,problems,passed,bad,counties,man,undermine,eliminates,illegal,cuts,taxes,workers,forests,congress,oppose,lives,concerned,colleagues,seniors,capacity,deny,brought,deliver,supported,defend,country,freedom,ensure,defending,rates,program,taxpayers,children,policies,create,foundation,debt,murder,left,tough,statement,something,sexual,farmers,investors,commitments,wars,require,questions,activities,borders,fence,allies,businesses,agreement,believe,shutdown,police,americans,lake,region,taking,encourage,superior,sorrow,scarce,unqualified,laugh,stupid,rapid,unknown,useless,loyal,REPUBLICAN,Independent,32,0,0,-2.0,2,False,0.0,1.0,80.0
5,9,friend,especially,recognize,legislation,months,basically,stated,extraordinary,father,sensible,billion,immigrants,opinion,wanted,additionally,obamacare,morning,people,week,happy,minutes,manufacturers,changes,able,values,rural,problem,passed,good,cities,man,destroy,provides,undocumented,cuts,taxes,workers,parks,congress,support,lives,concerned,friends,seniors,capability,deny,bringing,provide,supported,protect,country,democracy,ensures,protecting,prices,program,taxpayers,children,policies,produce,foundation,debt,murder,leaving,difficult,comments,nothing,sexual,homeowners,inventors,commitments,wars,include,questions,activities,borders,fence,partners,businesses,agreement,believe,shutdown,police,americans,lake,area,takes,encourage,inferior,sorrow,scarce,qualified,cry,clever,rapid,unknown,useful,loyal,DEMOCRAT,Democrat,53,1,0,-1.0,0,False,2.0,1.0,95.0
6,10,friend,particularly,acknowledge,measure,years,basically,stated,incredible,mother,sensible,billion,immigrants,view,want,additionally,aca,morning,people,week,happy,seconds,manufacturers,reforms,able,principles,underserved,problem,adopted,good,cities,woman,undermine,provides,undocumented,cuts,tax,workers,forests,congress,support,lives,concerned,friends,seniors,capability,give,bringing,provide,supported,protect,globe,democracy,ensure,protecting,rates,project,consumers,children,policy,create,foundation,deficit,murder,leaving,difficult,comments,something,sex,homeowners,inventors,promises,wars,include,question,activities,ports,fence,partners,corporations,agreement,hope,shutdown,fire,americans,lake,region,takes,encourage,inferior,joy,plentiful,unqualified,laugh,clever,rapid,famous,useful,loyal,DEMOCRAT,Independent,39,1,2,-2.0,0,False,0.0,1.0,50.0
7,12,friend,especially,recognize,legislation,years,basically,indicated,incredible,mother,commonsense,trillion,immigrants,view,want,additionally,obamacare,morning,folks,week,pleased,minutes,manufacturers,reforms,able,values,rural,problems,passed,bad,counties,woman,undermine,eliminates,illegal,cuts,taxes,workers,parks,congress,oppose,life,talking,friends,seniors,capability,deny,brought,deliver,sponsored,defend,country,freedom,ensure,defending,prices,program,taxpayers,babies,policies,produce,foundation,debt,murder,left,tough,comments,nothing,sexual,farmers,investors,promises,war,require,question,programs,borders,fence,allies,businesses,agreement,believe,shutdown,police,americans,delta,area,taking,enable,superior,joy,plentiful,qualified,laugh,stupid,rapid,famous,useless,loyal,REPUBLICAN,Democrat,30,1,-3,-1.0,-2,False,0.0,1.0,10.0
8,13,colleague,particularly,recognize,legislation,years,essentially,stated,incredible,father,sensible,trillion,aliens,view,wanted,additionally,aca,evening,folks,year,pleased,minutes,companies,changes,able,principles,rural,problems,passed,bad,counties,man,destroy,eliminates,undocumented,increases,taxes,workers,parks,body,oppose,lives,concerned,colleagues,seniors,capacity,deny,bringing,provide,sponsored,defend,globe,democracy,ensures,defending,rates,project,taxpayers,children,policy,produce,foundation,debt,rape,leaving,tough,statement,something,sexual,farmers,investors,promises,wars,require,questions,activities,borders,bridge,allies,businesses,treaty,believe,shutdown,police,americans,lake,region,taking,encourage,superior,joy,plentiful,unqualified,laugh,stupid,slow,famous,useful,loyal,REPUBLICAN,Democrat,25,0,-1,-1.0,-2,False,1.0,0.0,50.0
9,14,colleague,especially,acknowledge,measure,years,essentially,indicated,extraordinary,mother,sensible,billion,immigrants,view,wanted,additionally,aca,morning,folks,year,pleased,minutes,companies,changes,willing,principles,underserved,problems,adopted,good,cities,woman,undermine,provides,undocumented,increases,tax,workers,parks,congress,support,lives,concerned,colleagues,seniors,capability,give,bringing,provide,supported,protect,globe,democracy,ensures,protecting,rates,project,consumers,children,policies,create,foundation,deficit,rape,leaving,difficult,comments,something,sex,homeowners,inventors,commitments,wars,include,questions,programs,borders,bridge,partners,corporations,agreement,hope,shutdown,police,americans,delta,region,taking,encourage,superior,joy,scarce,unqualified,cry,clever,rapid,unknown,useful,loyal,DEMOCRAT,Independent,36,0,0,1.0,2,True,2.0,1.0,50.0
