"As a single working mother and a person who cared for my elderly and  aging parents, I and my New York colleagues fought an uphill battle to  include provisions facing elimination that are vital to seniors, single  parents, struggling families, and overburdened job creators, many of  whom have left New York State in vast numbers.","As a single working mother and a person who cared for my elderly and aging parents, I and my New York colleagues fought an uphill battle to include provisions facing elimination that are vital to seniors, single parents, struggling families, and overburdened job creators, many of whom have left New York State in vast numbers."
,
"There are six important changes included in this bill: It improves  NFIP's financial stability; it will reduce the burden on taxpayers; it  restores integrity to the FEMA mapping system; it will help bring  certainty to the housing market through a 5-year reauthorization; and  last, it explores ways to increase private market participation.","There are six important changes included in this bill: It improves NFIP's financial stability; it will reduce the burden on taxpayers; it restores integrity to the FEMA mapping system; it will help bring certainty to the housing market through a 5-year reauthorization; and last, it explores ways to increase private market participation."
,
I announced that Vermont and Wyoming were States we exceeded in  population.,I announced that Vermont and Wyoming were States we exceeded in population.
,
"And so, really, tonight's discussion about making life work is what  we're doing to create a fair system that looks out for everyone and  that looks out for people who are making minimum wage so that they  won't be making minimum wage for long.","And so, really, tonight's discussion about making life work is: what we're doing to create a fair system that looks out for everyone and that looks out for people who are making minimum wage so that they won't be making minimum wage for long."
,
We are talking about permanent reforms to the Tax Code  with no pay-fors.,We are talking about permanent reforms to the Tax Code with no pay-fors.
,
There are now  widespread fears that opposition to the extension of Kabila's rule will  spark demonstrations that will be met by violence by a government  determined to preserve its hold on power.,There are now widespread fears that opposition to the extension of Kabila's rule will spark demonstrations that will be met by violence by a government determined to preserve its hold on power.
,
"Thank you for joining the conversation at  #CBCTalks, and we are going to continue this conversation because 46  million people in our country live in poverty; 16 million of them are  children.","Thank you for joining the conversation at #CBCTalks, and we are going to continue this conversation because 46 million people in our country live in poverty; 16 million of them are children."
,
"My dad remarried a year after  my mother died in 1991, and they've been a blessing to both of us and  to our children.","My dad remarried a year after my mother died in 1991, and they've been a blessing to both of us and to our children."
,
"Let's heed the call of the fasters, of  those who pray passionately for complete immigration reform.","Let's heed the call of the fasters, of those who pray passionately for complete immigration reform."
,
Public and  private employers and employees tell me that the tax will cost jobs and  incomes across New Hampshire as they cope with higher taxes and  premiums.,Public and private employers and employees tell me that the tax will cost jobs and incomes across New Hampshire as they cope with higher taxes and premiums.
,
That's why we support the CLASS program--to give millions       of working Americans a new option to take personal       responsibility and help plan and pay for these essential       services.,That's why we support the CLASS program--to give millions of working Americans a new option to take personal responsibility and help plan and pay for these essential services.
,
"In 4 short years, Mr. Chairman, we can be out of this conversation  about debt and deficit and begin the conversation about freeing the  next generation from the $16.7 trillion that you and I and previous  Congresses have racked up on their behalf.","In 4 short years, Mr. Chairman, we can be out of this conversation about debt and deficit and begin the conversation about freeing the next generation from the $16.7 trillion that you and I and previous Congresses have racked up on their behalf."
,
