,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,age,gender,party,party_identity,political_engagement,education,voted,political_bubble,atn,pair0,pair1,pair2,pair3,pair4,pair5,pair6,pair7,pair8,pair9,pair10,pair11,pair12,pair13,pair14,pair15,pair16,pair17,pair18,pair19,pair20,pair21,pair22,pair23,pair24,pair25
2,5.0,5.0,5,2,5,5,4,2,5,2,2,2,4.0,2.0,5.0,5,3,1,5,5,5,2,4,2,5.0,5,34,Female,Independent,0.0,-1,4,0.0,31.0,ATTENTION,complete,prosperity,employees,contribute,principles,attack,recognize,fear,respond,profit,possibly,happy,monetary,types,finish,illegal,spoke,reforms,mom,duty,walls,announced,excessive,conversation,preserve,fundamental
3,4.0,1.0,2,0,4,1,1,3,2,4,2,2,3.0,2.0,3.0,4,1,1,2,4,3,3,4,3,4.0,1,42,Male,Republican,1.0,0,4,1.0,70.0,ATTENTION,comprehensive,wealth,workers,give,values,assault,acknowledge,terror,answer,gain,possibly,glad,monetary,kinds,finish,criminal,talked,changes,mother,responsibility,barriers,indicated,excessive,discussion,maintain,basic
5,2.0,3.0,3,2,1,3,1,2,2,5,2,1,3.0,3.0,4.0,4,3,1,4,3,2,3,2,1,4.0,3,28,Male,Democrat,0.0,1,1,1.0,75.0,ATTENTION,comprehensive,wealth,employees,contribute,principles,assault,recognize,fear,respond,profit,possibly,happy,financial,kinds,end,criminal,talked,changes,mom,responsibility,barriers,announced,excessive,discussion,preserve,basic
6,4.0,1.0,1,3,3,2,1,2,3,4,4,4,1.0,2.0,3.0,4,4,2,3,3,1,1,1,2,4.0,1,34,Male,Independent,2.0,1,1,0.0,90.0,ATTENTION,complete,wealth,employees,contribute,values,attack,acknowledge,terror,answer,profit,possibly,happy,monetary,kinds,finish,criminal,talked,changes,mother,responsibility,barriers,indicated,excessive,conversation,preserve,fundamental
7,3.0,2.0,3,1,4,1,3,1,4,4,3,4,1.0,4.0,3.0,1,4,2,3,4,1,4,2,4,4.0,2,24,Female,Republican,-3.0,-2,2,1.0,80.0,ATTENTION,comprehensive,wealth,employees,give,values,assault,acknowledge,fear,answer,gain,potentially,happy,monetary,kinds,finish,criminal,spoke,reforms,mom,duty,walls,announced,outrageous,conversation,preserve,basic
8,2.0,3.0,1,1,1,3,2,4,2,2,2,1,1.0,2.0,2.0,3,2,3,2,3,3,2,3,4,2.0,4,28,Male,Independent,-3.0,-3,4,0.0,29.0,ATTENTION,complete,prosperity,workers,give,values,attack,acknowledge,terror,answer,gain,potentially,glad,monetary,types,finish,illegal,spoke,reforms,mother,duty,walls,indicated,outrageous,conversation,maintain,fundamental
9,2.0,3.0,4,1,1,5,1,3,4,5,2,1,5.0,1.0,3.0,3,2,1,2,3,4,2,2,1,4.0,4,29,Male,Independent,0.0,0,1,0.0,50.0,ATTENTION,comprehensive,prosperity,workers,give,principles,assault,recognize,fear,respond,gain,potentially,glad,financial,types,end,illegal,spoke,reforms,mom,duty,walls,announced,outrageous,discussion,maintain,basic
10,1.0,4.0,2,2,4,4,2,5,2,3,2,3,3.0,2.0,2.0,4,2,2,3,4,3,3,3,1,4.0,1,31,Female,Democrat,2.0,1,5,0.0,71.0,ATTENTION,comprehensive,wealth,workers,contribute,values,attack,recognize,terror,respond,gain,possibly,happy,financial,types,finish,criminal,spoke,changes,mother,duty,barriers,indicated,excessive,discussion,preserve,basic
13,3.0,1.0,1,1,1,4,2,3,2,4,2,2,2.0,3.0,2.0,5,3,1,3,1,2,3,4,2,3.0,2,58,Female,Democrat,2.0,2,3,1.0,93.0,ATTENTION,complete,wealth,workers,give,principles,attack,recognize,terror,respond,profit,possibly,glad,financial,types,end,illegal,talked,changes,mother,responsibility,barriers,indicated,excessive,discussion,maintain,basic
14,2.0,3.0,2,2,3,3,2,3,2,3,2,3,3.0,3.0,2.0,3,3,2,2,3,3,2,3,2,2.0,3,37,Male,Independent,,-1,5,0.0,50.0,ATTENTION,complete,prosperity,employees,give,principles,assault,acknowledge,fear,answer,profit,potentially,glad,monetary,kinds,end,illegal,talked,reforms,mom,responsibility,walls,announced,outrageous,conversation,maintain,fundamental
