,1,2,3,4,5,6,7,8,9,10,pair1,pair2,pair3,pair4,pair5,pair6,pair7,pair8,pair9,pair10,age,gender,party_affil,education,party_strength,political_engagement,imc_passed
0,2,6,4,4,1.0,3,1,6,6,5.0,sorrow,superior,scarce,qualified,laugh,unknown,clever,blame,bitter,inaccurate,57.0,Female,Democrat,Master's degree,6.0,7.0,False
1,3,5,2,2,2.0,2,5,4,2,2.0,joy,inferior,plentiful,unqualified,cry,famous,stupid,praise,sweet,accurate,26.0,Female,Democrat,Bachelor's degree,4.0,6.0,False
2,3,3,4,4,2.0,4,2,3,4,5.0,joy,superior,plentiful,qualified,cry,famous,stupid,praise,sweet,accurate,48.0,Female,Republican,Master's degree,6.0,6.0,True
3,4,5,2,4,1.0,2,5,2,3,5.0,sorrow,inferior,scarce,unqualified,laugh,unknown,clever,blame,bitter,inaccurate,35.0,Female,Republican,Bachelor's degree,7.0,2.0,True
4,3,4,5,4,3.0,5,3,4,4,4.0,sorrow,inferior,scarce,qualified,cry,famous,clever,praise,sweet,inaccurate,35.0,Female,Republican,Associate's/professional/vocational degree,3.0,4.0,True
5,2,4,2,5,3.0,4,5,5,5,3.0,joy,superior,plentiful,unqualified,laugh,unknown,stupid,blame,bitter,accurate,45.0,Male,Democrat,Bachelor's degree,5.0,7.0,True
6,2,6,3,6,2.0,3,3,1,5,5.0,joy,superior,plentiful,unqualified,laugh,unknown,clever,praise,bitter,inaccurate,40.0,Male,Democrat,Bachelor's degree,6.0,5.0,True
7,6,6,1,3,6.0,1,6,6,3,1.0,sorrow,inferior,scarce,qualified,cry,famous,clever,blame,sweet,accurate,41.0,Male,Democrat,Associate's/professional/vocational degree,4.0,4.0,True
8,2,5,5,2,5.0,5,5,3,4,4.0,sorrow,superior,plentiful,unqualified,cry,famous,stupid,blame,bitter,accurate,38.0,Female,Democrat,Bachelor's degree,2.0,2.0,True
9,2,5,5,4,6.0,4,5,3,3,3.0,joy,superior,scarce,qualified,cry,famous,stupid,blame,sweet,inaccurate,36.0,Male,Democrat,Bachelor's degree,7.0,4.0,True
10,5,2,5,2,2.0,2,1,4,2,5.0,joy,inferior,scarce,qualified,laugh,unknown,stupid,praise,sweet,inaccurate,33.0,Male,Republican,Bachelor's degree,6.0,6.0,True
11,3,4,3,5,4.0,3,3,3,4,3.0,sorrow,inferior,plentiful,unqualified,laugh,unknown,clever,praise,bitter,accurate,59.0,Female,Republican,Master's degree,1.0,2.0,True
12,6,6,3,1,6.0,4,2,2,6,2.0,joy,inferior,plentiful,qualified,laugh,unknown,clever,praise,bitter,inaccurate,30.0,Male,Democrat,Bachelor's degree,6.0,6.0,True
13,3,4,2,4,3.0,4,3,3,3,4.0,joy,inferior,plentiful,qualified,laugh,unknown,clever,praise,bitter,inaccurate,55.0,Male,Republican,Bachelor's degree,2.0,5.0,True
14,3,4,4,3,3.0,4,3,3,4,4.0,sorrow,superior,scarce,unqualified,cry,famous,stupid,blame,sweet,accurate,29.0,Male,Republican,Bachelor's degree,3.0,1.0,False
15,2,4,3,5,2.0,3,5,6,3,2.0,sorrow,superior,scarce,unqualified,cry,famous,stupid,blame,sweet,accurate,31.0,Male,Democrat,Bachelor's degree,5.0,5.0,False
16,3,5,3,5,3.0,3,5,5,3,2.0,sorrow,superior,scarce,unqualified,cry,famous,stupid,blame,sweet,accurate,32.0,Female,Democrat,Bachelor's degree,5.0,6.0,False
17,1,5,2,5,3.0,3,2,2,2,5.0,joy,inferior,plentiful,qualified,laugh,unknown,clever,praise,bitter,inaccurate,42.0,Female,Republican,Associate's/professional/vocational degree,5.0,6.0,True
18,3,5,1,5,5.0,4,6,5,2,2.0,sorrow,superior,scarce,unqualified,cry,famous,stupid,blame,sweet,accurate,39.0,Female,Democrat,Some college (no degree),5.0,3.0,False
19,3,4,3,3,4.0,4,4,3,4,3.0,joy,inferior,plentiful,qualified,laugh,unknown,clever,praise,bitter,inaccurate,24.0,Male,Democrat,Bachelor's degree,6.0,4.0,True
20,4,5,4,2,3.0,5,5,5,4,2.0,sorrow,superior,scarce,unqualified,laugh,unknown,stupid,blame,sweet,accurate,35.0,Female,Democrat,Some college (no degree),7.0,5.0,True
21,4,4,2,5,2.0,2,4,3,1,4.0,sorrow,superior,scarce,unqualified,laugh,unknown,clever,praise,sweet,inaccurate,34.0,Female,Republican,Bachelor's degree,5.0,5.0,True
22,6,6,1,6,1.0,1,6,1,1,6.0,joy,superior,scarce,qualified,cry,famous,clever,blame,bitter,accurate,53.0,Male,Republican,Bachelor's degree,6.0,6.0,True
23,5,6,1,6,3.0,1,2,6,3,6.0,sorrow,superior,scarce,unqualified,laugh,unknown,stupid,praise,sweet,accurate,33.0,Female,Republican,Bachelor's degree,2.0,1.0,True
24,2,5,3,3,4.0,4,3,4,3,2.0,joy,inferior,plentiful,qualified,cry,famous,stupid,blame,bitter,accurate,32.0,Male,Democrat,Bachelor's degree,2.0,2.0,True
25,2,6,3,6,3.0,3,5,5,6,2.0,joy,inferior,scarce,unqualified,laugh,famous,clever,blame,bitter,accurate,42.0,Female,Democrat,Master's degree,7.0,5.0,True
26,3,5,3,4,5.0,3,4,6,5,5.0,joy,inferior,plentiful,qualified,laugh,famous,clever,blame,bitter,inaccurate,36.0,Male,Democrat,High school,7.0,3.0,True
27,2,3,2,2,3.0,2,5,2,3,3.0,sorrow,superior,plentiful,qualified,cry,unknown,stupid,praise,sweet,inaccurate,27.0,Male,Democrat,Bachelor's degree,7.0,3.0,True
28,2,4,2,4,4.0,4,4,2,3,5.0,sorrow,inferior,plentiful,unqualified,cry,unknown,stupid,praise,sweet,inaccurate,26.0,Female,Democrat,Bachelor's degree,2.0,6.0,True
