,1,2,3,4,5,6,7,8,9,10,Condition,age,gender,party_affil,education,party_strength,political_engagement,imc_passed
0,inferior,joy,scarce,unqualified,cry,stupid,rapid,unknown,useless,disloyal,DEMOCRAT,39.0,Female,Republican,Master's degree,6,4,False
1,inferior,joy,scarce,qualified,cry,clever,rapid,unknown,useful,loyal,DEMOCRAT,23.0,Female,Republican,Master's degree,3,4,False
2,superior,sorrow,scarce,unqualified,cry,stupid,rapid,unknown,useless,disloyal,REPUBLICAN,44.0,Female,Democrat,Master's degree,7,6,True
3,superior,joy,plentiful,qualified,laugh,stupid,rapid,unknown,useful,loyal,REPUBLICAN,52.0,Female,Democrat,Bachelor's degree,7,5,False
4,superior,joy,plentiful,unqualified,cry,stupid,rapid,famous,useful,disloyal,DEMOCRAT,69.0,Female,Republican,High school,7,7,False
5,superior,joy,plentiful,qualified,laugh,clever,rapid,famous,useful,loyal,REPUBLICAN,64.0,Female,Republican,High school,2,4,False
6,superior,sorrow,scarce,qualified,laugh,stupid,slow,famous,useless,disloyal,REPUBLICAN,28.0,Female,Democrat,Bachelor's degree,7,4,True
7,superior,joy,scarce,qualified,laugh,clever,rapid,famous,useful,loyal,DEMOCRAT,37.0,Female,Democrat,Master's degree,7,2,True
8,inferior,sorrow,scarce,qualified,laugh,clever,slow,famous,useful,disloyal,REPUBLICAN,40.0,Male,Democrat,Bachelor's degree,2,2,False
9,superior,sorrow,plentiful,qualified,laugh,clever,rapid,famous,useful,loyal,DEMOCRAT,47.0,Female,Democrat,Bachelor's degree,6,4,True
10,inferior,joy,plentiful,qualified,laugh,clever,rapid,unknown,useful,loyal,DEMOCRAT,40.0,Male,Democrat,High school,7,4,True
11,inferior,sorrow,plentiful,unqualified,laugh,stupid,rapid,unknown,useless,disloyal,REPUBLICAN,36.0,Female,Democrat,Bachelor's degree,5,6,True
12,superior,joy,plentiful,qualified,laugh,clever,rapid,famous,useful,loyal,DEMOCRAT,63.0,Female,Democrat,Master's degree,6,7,True
13,superior,sorrow,plentiful,unqualified,cry,stupid,slow,famous,useless,loyal,REPUBLICAN,46.0,Male,Democrat,Associate's/professional/vocational degree,3,2,True
14,inferior,joy,plentiful,qualified,laugh,clever,rapid,unknown,useful,loyal,DEMOCRAT,46.0,Female,Democrat,Bachelor's degree,7,5,True
15,superior,sorrow,scarce,qualified,cry,stupid,slow,famous,useless,disloyal,REPUBLICAN,52.0,Female,Democrat,Some college (no degree),7,7,True
16,superior,joy,plentiful,qualified,laugh,clever,rapid,famous,useful,loyal,REPUBLICAN,36.0,Male,Democrat,Some college (no degree),5,7,True
17,inferior,joy,scarce,qualified,cry,clever,rapid,unknown,useful,loyal,DEMOCRAT,29.0,Male,Democrat,Master's degree,5,2,True
18,inferior,sorrow,scarce,unqualified,cry,stupid,slow,famous,useless,disloyal,REPUBLICAN,38.0,Male,Democrat,Bachelor's degree,3,5,True
19,superior,sorrow,plentiful,qualified,cry,clever,rapid,famous,useful,loyal,DEMOCRAT,26.0,Female,Republican,Associate's/professional/vocational degree,4,4,True
