ID,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,Condition,atc_passed,order
103,food,paycheck,girl,coastline,summer,achievement,assets,relationship,daughter,legacy,songs,weekend,sanctuary,friendship,victory,accomplishments,miracle,husband,sky,winner,bonus,angel,tree,son,success,disease,foreclosure,debt,homicide,suicide,deficiency,bankruptcy,confrontation,fugitive,assassination,killer,fee,monster,headstone,funeral,nightmare,rapist,attacker,difficulty,genocide,crimes,prison,failures,argument,death,proposal,sites,assessment,counterpart,region,proportion,instructions,delegation,particles,predecessor,payment,units,bathroom,spines,exception,dimension,affiliation,referrals,pantry,concession,pillars,department,door,location,town,minute,hour,week,year,century,inch,mile,centimeter,pound,kilogram,tablespoon,liter,gallon,horsepower,kilobyte,megabyte,gigahertz,dollar,ten,hundred,some,several,big,short,narrow,CONCRETE,True,1
100,food,paychecks,girls,coastlines,summers,achievements,assets,relationships,daughters,legacy,song,weekends,sanctuary,friendship,victories,accomplishments,miracles,husband,skies,winner,bonuses,angels,trees,sons,successes,disease,foreclosure,debt,homicides,suicide,deficiency,bankruptcy,confrontation,fugitive,assassination,killers,fee,monsters,headstone,funeral,nightmare,rapist,attacker,difficulties,genocides,crime,prison,failures,argument,death,proposal,sites,assessment,counterpart,region,proportions,instructions,delegations,particles,predecessor,payments,units,bathrooms,spines,exceptions,dimensions,affiliations,referrals,pantry,concessions,pillar,department,doors,locations,towns,minute,hour,month,decade,millenium,foot,mile,kilometer,pound,kilogram,tablespoon,liter,gallon,horsepower,kilobyte,megabyte,hertz,dollar,ten,thousand,some,many,big,long,narrow,ABSTRACT,False,1
105,foods,paycheck,girl,coastline,summer,achievement,assets,relationships,daughters,legacy,songs,weekend,sanctuaries,friendship,victory,-99,miracles,husbands,skies,winner,bonus,angels,tree,son,success,disease,foreclosure,debt,homicide,suicide,deficiency,bankruptcy,confrontation,fugitive,assassinations,killers,fees,monsters,headstone,funerals,nightmares,rapist,attacker,difficulty,genocide,crimes,prison,failures,argument,death,proposal,sites,assessments,counterparts,region,proportions,instruction,delegations,particle,predecessors,payment,unit,bathrooms,spines,exceptions,-99,affiliation,referrals,pantries,concession,pillars,department,door,locations,towns,minute,day,month,year,century,foot,mile,kilometer,pound,kilogram,tablespoon,liter,quart,watt,kilobyte,gigabyte,gigahertz,dollar,ten,thousand,some,several,small,long,narrow,CONCRETE,True,2
106,food,paychecks,girls,coastline,summers,achievement,asset,relationship,daughter,legacies,songs,weekend,sanctuaries,friendship,victory,accomplishments,miracle,husbands,skies,winners,bonus,angel,trees,son,successes,disease,foreclosure,debts,homicides,suicide,deficiencies,bankruptcies,confrontations,fugitive,assassination,killer,fees,monsters,headstone,funerals,nightmares,rapist,attackers,difficulties,genocides,crime,prison,failures,arguments,death,proposals,sites,assessments,counterparts,region,proportions,instructions,delegations,particles,predecessor,payment,units,bathroom,spines,exception,dimensions,affiliations,referrals,pantries,concession,pillar,department,doors,location,towns,second,hour,week,year,century,foot,mile,kilometer,pound,gram,teaspoon,cup,gallon,horsepower,kilobyte,gigabyte,gigahertz,dollar,one,hundred,few,several,small,short,wide,ABSTRACT,True,4
109,food,paycheck,girl,coastlines,summers,achievement,assets,relationships,daughter,legacies,song,weekend,sanctuary,friendship,victory,accomplishment,miracles,husbands,sky,winners,bonuses,angels,tree,sons,success,diseases,foreclosures,debt,homicide,suicide,deficiency,bankruptcy,confrontation,fugitive,assassinations,killer,fee,monsters,headstone,funeral,nightmares,rapist,attacker,difficulty,genocide,crime,prison,failure,argument,death,proposals,site,assessment,counterpart,regions,proportions,instruction,delegation,particle,predecessors,payment,unit,bathroom,spine,exception,dimensions,affiliation,referral,pantry,concessions,pillars,department,doors,location,town,minute,day,week,decade,century,inch,yard,centimeter,pound,gram,teaspoon,cup,gallon,horsepower,byte,gigabyte,gigahertz,cent,one,thousand,some,many,big,short,narrow,ABSTRACT,True,1
111,food,paycheck,girls,coastline,summer,achievements,assets,relationship,daughters,legacy,songs,weekend,sanctuary,friendship,victory,accomplishments,miracle,husband,sky,winner,bonuses,angel,trees,sons,successes,disease,foreclosure,debt,homicide,suicide,deficiencies,bankruptcy,confrontation,fugitives,assassination,killer,fees,monster,headstone,funeral,nightmare,rapists,attackers,difficulties,genocide,crimes,prison,failures,arguments,death,proposal,site,assessments,counterpart,region,proportion,instructions,delegation,particles,predecessor,payments,unit,bathroom,spine,exceptions,dimensions,affiliation,referral,pantry,concession,pillar,department,doors,location,town,minute,hour,week,year,century,inch,yard,centimeter,pound,gram,tablespoon,cup,gallon,watt,byte,megabyte,hertz,dollar,ten,thousand,few,several,small,short,wide,CONCRETE,True,1
108,food,paycheck,girl,coastline,summer,achievement,asset,relationship,daughter,legacy,song,weekend,sanctuary,friendship,victory,accomplishment,miracle,husband,sky,winner,bonus,angel,tree,son,success,disease,foreclosure,debt,homicide,suicide,deficiency,bankruptcy,confrontation,fugitive,assassination,killer,fee,monster,headstone,funeral,nightmare,rapist,attacker,difficulty,genocide,crime,prison,failure,argument,death,proposal,site,assessment,counterpart,region,proportion,instructions,delegation,particle,predecessor,payment,unit,bathroom,spine,exception,dimension,affiliation,referral,pantry,concession,pillar,department,door,locations,town,second,hour,week,year,century,foot,yard,centimeter,pound,kilogram,teaspoon,liter,quart,watt,byte,gigabyte,hertz,dollar,one,hundred,some,several,small,short,narrow,CONCRETE,True,3
112,foods,paychecks,girl,coastlines,summers,achievements,assets,relationships,daughter,legacies,song,weekends,sanctuaries,friendships,victory,accomplishments,miracles,husband,sky,winners,bonuses,angels,trees,son,success,disease,foreclosure,debts,homicides,suicides,deficiencies,bankruptcies,confrontation,fugitives,assassinations,killers,fees,monster,headstones,funerals,nightmare,rapists,attackers,difficulty,genocides,crimes,prison,failure,arguments,death,proposals,sites,assessments,counterparts,regions,proportions,instruction,delegations,particle,predecessors,payments,units,bathroom,spines,exceptions,dimensions,affiliations,referrals,pantries,concessions,pillars,departments,doors,location,town,second,hour,month,decade,millenium,inch,yard,kilometer,ounce,kilogram,tablespoon,cup,quart,horsepower,kilobyte,gigabyte,gigahertz,cent,ten,thousand,some,several,small,short,narrow,ABSTRACT,True,3
113,food,paycheck,girls,coastline,summer,achievement,asset,relationship,daughter,legacies,song,weekend,sanctuary,friendship,victory,accomplishment,miracle,husband,sky,winner,bonus,angel,trees,son,success,disease,foreclosure,debt,homicide,suicide,deficiency,bankruptcy,confrontation,fugitives,assassination,killer,fee,monsters,headstones,funeral,nightmare,rapists,attacker,difficulty,genocide,crime,prison,failure,argument,death,proposal,site,assessment,counterpart,region,proportion,instructions,delegation,particles,predecessor,payment,unit,bathroom,spine,exception,dimensions,affiliation,referral,pantry,concessions,pillars,department,door,location,town,minute,hour,week,year,century,inch,mile,centimeter,pound,kilogram,teaspoon,cup,quart,watt,kilobyte,megabyte,gigahertz,dollar,one,hundred,some,many,big,long,narrow,CONCRETE,True,3
118,food,paychecks,girls,coastlines,summer,achievements,asset,relationships,daughters,legacies,songs,weekends,sanctuaries,friendships,victories,accomplishments,miracles,husband,skies,winners,bonus,angels,trees,sons,successes,disease,foreclosure,debts,homicide,suicide,deficiencies,-99,confrontations,fugitives,assassinations,killers,fees,monsters,headstones,funerals,nightmare,rapists,attackers,difficulties,genocide,crimes,prisons,failures,argument,death,proposals,sites,assessments,counterparts,regions,proportions,instruction,delegations,particles,predecessors,payments,unit,bathrooms,spines,exception,dimensions,affiliations,referrals,pantries,concessions,pillars,departments,doors,location,towns,minute,day,month,decade,millenium,foot,mile,kilometer,pound,kilogram,tablespoon,liter,gallon,watt,kilobyte,megabyte,gigahertz,dollar,ten,thousand,some,several,big,long,wide,ABSTRACT,True,1
