ID,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,Condition,atc_passed,order,ident
106,food,paycheck,girls,coastlines,summers,achievement,asset,relationships,daughter,legacy,songs,weekend,sanctuaries,friendship,victories,accomplishments,miracle,husband,skies,winners,bonus,angel,tree,son,success,disease,foreclosures,debts,homicides,suicide,deficiency,bankruptcies,confrontation,fugitives,assassination,killer,fees,monster,headstones,funerals,nightmare,rapist,attacker,difficulties,genocide,crimes,prison,failures,arguments,death,proposals,site,assessments,counterpart,regions,proportion,instruction,delegations,particle,predecessor,payments,units,bathroom,spine,exceptions,dimensions,affiliations,referral,pantries,concession,pillar,departments,doors,location,towns,minute,day,month,decade,millenium,foot,mile,kilometer,pound,kilogram,tablespoon,liter,gallon,horsepower,kilobyte,gigabyte,gigahertz,dollar,ten,thousand,few,many,big,long,wide,MALE,True,1,Female
105,food,paychecks,girls,coastline,summers,achievements,assets,relationship,daughter,legacy,songs,weekends,sanctuary,friendships,victory,accomplishment,miracle,husbands,sky,winner,bonus,angel,tree,sons,success,diseases,foreclosure,debts,homicide,suicide,deficiencies,bankruptcy,confrontation,fugitive,assassination,killers,fee,monsters,headstones,funeral,nightmares,rapist,attacker,difficulties,genocide,crimes,prison,failure,arguments,death,proposal,site,assessment,counterpart,regions,proportion,instructions,delegation,particle,predecessors,payments,units,bathroom,spine,exception,dimension,affiliation,referrals,pantries,concession,pillars,department,doors,location,towns,minute,day,month,decade,millenium,foot,mile,kilometer,pound,kilogram,tablespoon,liter,gallon,horsepower,kilobyte,gigabyte,gigahertz,dollar,ten,thousand,some,several,big,long,wide,MALE,True,1,Male
103,food,paycheck,girl,coastline,summer,achievements,asset,relationships,daughter,legacy,song,weekends,sanctuary,friendships,victory,accomplishment,miracle,husband,sky,winner,bonus,angel,tree,son,success,disease,foreclosure,debt,homicide,suicide,deficiencies,bankruptcy,confrontation,fugitive,assassination,killer,fee,monsters,headstones,funeral,nightmare,rapist,attacker,difficulties,genocide,crime,prison,failure,argument,death,proposal,site,assessment,counterparts,region,proportion,instructions,delegation,particles,predecessor,payments,units,bathroom,spine,exception,dimension,affiliation,referral,pantry,concession,pillars,department,door,location,town,minute,hour,week,year,century,inch,mile,centimeter,ounce,gram,teaspoon,cup,gallon,watt,kilobyte,megabyte,hertz,dollar,one,hundred,few,several,small,long,narrow,FEMALE,True,2,Female
108,food,paychecks,girls,coastlines,summers,achievement,assets,relationship,daughters,legacies,songs,weekends,sanctuaries,friendship,victories,accomplishments,miracles,husbands,sky,winner,bonuses,angel,trees,son,successes,disease,foreclosures,debt,homicides,suicides,deficiencies,bankruptcies,confrontation,fugitives,assassinations,killers,fee,monster,headstones,funerals,nightmare,rapists,attackers,difficulties,genocide,crime,prison,failure,argument,deaths,proposal,site,assessments,counterpart,region,proportions,instruction,delegations,particle,predecessors,payment,unit,bathrooms,spine,exception,dimensions,affiliations,referral,pantries,concessions,pillar,department,doors,location,towns,second,hour,week,decade,millenium,foot,mile,centimeter,ounce,kilogram,teaspoon,liter,quart,watt,byte,megabyte,hertz,dollar,ten,thousand,few,several,big,short,wide,FEMALE,True,1,Female
109,food,paycheck,girl,coastline,summer,achievement,asset,relationships,daughters,legacy,song,weekends,sanctuary,friendships,victory,accomplishment,miracle,husband,sky,winner,bonuses,angel,tree,son,success,disease,foreclosure,debt,homicide,suicide,deficiency,bankruptcy,confrontation,fugitive,assassination,killer,fee,monster,headstone,funeral,nightmare,rapists,attackers,difficulty,genocide,crime,prison,failures,argument,death,proposal,site,assessment,counterpart,region,proportion,instructions,delegation,particles,predecessor,payment,unit,bathroom,spine,exception,dimension,affiliation,referrals,pantry,concession,pillar,department,door,location,town,second,day,week,decade,century,foot,mile,kilometer,pound,gram,teaspoon,liter,gallon,watt,byte,megabyte,hertz,dollar,one,thousand,few,many,big,long,narrow,MALE,True,2,Male
110,food,paycheck,girls,coastline,summer,achievements,assets,relationship,daughter,legacy,songs,weekend,sanctuary,friendship,victory,accomplishments,miracles,husband,sky,winner,bonuses,angels,trees,sons,success,disease,foreclosures,debts,homicide,suicide,deficiency,bankruptcy,confrontation,fugitive,assassination,killer,fees,monster,headstone,funeral,nightmare,rapist,attackers,difficulty,genocide,crimes,prisons,failure,argument,deaths,proposals,sites,assessment,counterpart,regions,proportion,instructions,delegations,particles,predecessor,payments,units,bathroom,spine,exceptions,dimensions,affiliation,referral,pantry,concessions,pillars,department,doors,location,towns,minute,hour,month,decade,millenium,foot,mile,kilometer,pound,kilogram,tablespoon,liter,gallon,watt,kilobyte,gigabyte,hertz,dollar,ten,thousand,some,many,big,long,wide,MALE,True,3,Female
111,food,paychecks,girls,coastlines,summers,achievements,assets,relationships,daughters,legacy,songs,weekends,sanctuaries,friendship,victories,accomplishments,miracles,husbands,skies,winners,bonuses,angels,trees,sons,successes,disease,foreclosure,debt,homicide,suicides,deficiency,bankruptcy,confrontations,fugitives,assassination,killer,fees,monsters,headstones,funerals,nightmare,rapists,attackers,difficulty,genocides,crime,prison,failure,arguments,death,proposals,sites,assessments,counterpart,regions,proportions,instructions,delegations,particles,predecessors,payments,units,bathroom,spine,exceptions,dimensions,affiliations,referrals,pantries,concession,pillars,departments,doors,locations,towns,minute,day,month,decade,millenium,foot,mile,kilometer,pound,kilogram,tablespoon,liter,gallon,horsepower,kilobyte,gigabyte,gigahertz,dollar,ten,thousand,some,several,big,long,wide,MALE,True,4,Female
116,food,paychecks,girl,coastlines,summer,achievement,asset,relationships,daughter,legacies,songs,weekend,sanctuary,friendship,victory,accomplishments,miracle,husbands,sky,winners,bonus,angel,trees,son,success,disease,foreclosure,debts,homicide,suicide,deficiencies,bankruptcy,confrontations,fugitives,assassinations,killers,fee,monster,headstone,funerals,nightmare,rapist,attackers,difficulties,genocides,crime,prisons,failure,arguments,death,proposals,site,assessment,counterpart,region,proportion,instruction,delegations,particles,predecessors,payments,units,bathroom,spine,exceptions,dimensions,affiliations,referral,pantries,concessions,pillars,department,door,locations,towns,minute,hour,month,decade,century,inch,mile,centimeter,pound,kilogram,teaspoon,liter,gallon,watt,byte,gigabyte,hertz,cent,ten,thousand,some,many,small,short,narrow,FEMALE,False,1,Male
115,food,paycheck,girl,coastline,summer,achievement,asset,relationship,daughter,legacy,song,weekend,sanctuary,friendship,victory,accomplishment,miracle,husband,sky,winner,bonus,angel,tree,son,success,disease,foreclosure,debt,homicide,suicide,deficiency,bankruptcy,confrontation,fugitive,assassination,killer,fee,-99,headstone,funeral,nightmare,rapist,attacker,difficulty,genocide,crime,prison,failure,argument,death,proposal,site,assessment,counterpart,region,proportion,instructions,delegation,particle,predecessor,payment,unit,bathroom,spine,exception,dimension,affiliation,referral,pantry,concession,pillar,department,door,location,town,minute,hour,week,decade,century,inch,mile,centimeter,ounce,gram,teaspoon,cup,gallon,watt,byte,gigabyte,gigahertz,dollar,one,hundred,few,several,small,short,narrow,MALE,True,1,Female
117,food,paychecks,girls,coastline,summer,achievements,assets,relationships,daughter,legacy,songs,weekends,sanctuary,friendships,victories,accomplishments,miracles,husband,sky,winner,bonus,angels,trees,sons,successes,disease,foreclosure,debts,homicide,suicide,deficiency,bankruptcy,confrontation,fugitives,assassination,killer,fees,monsters,headstone,funeral,nightmares,rapists,attackers,difficulties,genocide,crimes,prison,failures,arguments,death,proposal,sites,assessment,counterpart,region,proportions,instructions,delegations,particles,predecessor,payment,units,bathrooms,spine,exceptions,dimensions,affiliation,referrals,pantry,concessions,pillars,department,doors,location,town,second,hour,month,decade,century,foot,mile,kilometer,pound,kilogram,tablespoon,cup,gallon,watt,kilobyte,gigabyte,hertz,dollar,ten,thousand,few,several,small,short,wide,FEMALE,True,1,Female
