ID,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,Condition,atc_passed,order,ident
106,food,paycheck,girls,coastline,summer,achievements,assets,relationships,daughter,legacy,song,weekends,sanctuaries,friendships,victories,accomplishments,miracles,husbands,skies,winners,bonuses,angels,trees,son,successes,diseases,foreclosures,debts,homicides,suicides,deficiencies,bankruptcies,confrontations,fugitive,assassinations,killers,fees,monsters,headstones,funerals,nightmare,rapists,attackers,difficulties,genocides,crimes,prisons,failure,arguments,death,proposals,sites,assessment,counterparts,region,proportion,instructions,delegations,particles,predecessors,payments,units,bathrooms,spines,exceptions,dimensions,affiliations,referrals,pantries,concessions,pillar,departments,doors,locations,towns,second,day,month,decade,millenium,foot,yard,kilometer,pound,kilogram,tablespoon,cup,gallon,horsepower,kilobyte,gigabyte,gigahertz,cent,ten,thousand,few,many,big,long,wide,DEMOCRAT,True,3,Democrat
105,foods,paycheck,girl,coastlines,-99,-99,asset,relationships,daughter,legacies,song,weekends,sanctuaries,friendship,victory,accomplishment,miracle,husband,skies,winner,-99,angel,tree,sons,successes,-99,foreclosure,debt,homicide,suicides,deficiency,bankruptcy,confrontation,fugitive,assassination,killer,fees,monsters,headstones,funerals,nightmare,rapist,attackers,difficulty,genocide,crime,prisons,failures,argument,deaths,-99,site,assessment,-99,region,-99,instruction,-99,particles,predecessor,payments,units,bathroom,spines,exceptions,dimension,affiliation,referrals,pantries,concession,pillar,department,doors,location,town,minute,day,-99,year,millenium,foot,yard,kilometer,-99,kilogram,tablespoon,cup,gallon,-99,kilobyte,gigabyte,gigahertz,dollar,-99,thousand,some,many,big,long,narrow,REPUBLICAN,True,3,Other party (please specify)
100,foods,paychecks,girls,coastlines,summers,achievements,assets,relationships,daughters,legacies,songs,weekends,sanctuaries,friendships,victories,accomplishments,miracles,husbands,skies,winners,bonuses,angels,trees,-99,successes,diseases,foreclosures,debts,homicides,suicide,deficiencies,bankruptcies,confrontations,fugitives,assassinations,killers,fees,monsters,headstones,funerals,nightmares,rapists,attackers,difficulties,genocides,crimes,prisons,-99,arguments,deaths,proposals,sites,assessments,counterparts,regions,proportions,instructions,delegations,particles,predecessors,payments,units,bathrooms,spines,exceptions,dimensions,affiliations,referrals,pantries,concessions,pillars,departments,doors,locations,towns,minute,day,month,decade,millenium,foot,mile,kilometer,pound,kilogram,tablespoon,liter,gallon,horsepower,kilobyte,megabyte,gigahertz,dollar,ten,thousand,some,many,big,long,wide,REPUBLICAN,True,3,Independent
112,foods,paychecks,girls,coastlines,summers,achievement,assets,relationships,daughters,legacies,songs,weekends,sanctuaries,friendships,victory,accomplishment,miracles,husbands,skies,winners,bonuses,angels,trees,sons,success,disease,foreclosure,debt,homicide,suicides,deficiency,bankruptcy,confrontations,fugitive,assassination,killer,fees,monster,headstones,funerals,nightmare,rapist,attacker,difficulties,genocide,crime,prison,failures,arguments,death,proposals,sites,assessments,counterparts,regions,proportions,instructions,delegations,particles,predecessors,payments,units,bathrooms,spines,exception,dimensions,affiliations,referrals,pantries,concession,pillars,departments,doors,locations,towns,minute,day,month,decade,century,foot,yard,kilometer,pound,kilogram,tablespoon,cup,gallon,watt,kilobyte,gigabyte,gigahertz,dollar,ten,thousand,some,many,big,long,wide,DEMOCRAT,True,1,Democrat
110,foods,paycheck,girls,coastline,summer,achievements,assets,relationships,daughter,legacy,song,weekend,sanctuary,friendship,victory,accomplishments,miracle,husband,sky,winner,bonus,angels,trees,sons,success,disease,foreclosures,debt,homicide,suicide,deficiency,bankruptcy,confrontation,fugitives,assassination,killers,fees,monster,headstone,funeral,nightmare,rapist,attacker,difficulty,genocide,crimes,prisons,failure,argument,deaths,proposals,site,assessment,counterparts,regions,proportion,instructions,delegation,particles,predecessor,payments,units,bathroom,spine,exceptions,dimensions,affiliation,referral,pantries,concessions,pillar,department,door,location,towns,minute,day,week,year,millenium,foot,mile,kilometer,pound,kilogram,tablespoon,liter,gallon,watt,byte,gigabyte,hertz,dollar,ten,hundred,some,several,small,short,wide,DEMOCRAT,True,1,Independent
113,food,paycheck,girls,coastline,summers,achievements,assets,relationship,daughters,legacy,song,weekend,sanctuary,friendships,victory,accomplishments,miracles,husbands,sky,winner,bonus,angels,trees,sons,success,disease,foreclosure,debt,homicides,suicides,deficiencies,bankruptcy,confrontation,fugitives,assassination,killers,fee,monster,headstones,funeral,nightmare,rapists,attackers,difficulty,genocide,crime,prisons,failures,arguments,deaths,proposal,sites,assessment,counterparts,regions,proportion,instructions,delegation,particle,predecessors,payments,units,bathroom,spine,exception,dimension,affiliations,referral,pantry,concession,pillars,departments,door,location,town,second,day,month,year,century,inch,mile,centimeter,pound,kilogram,tablespoon,cup,gallon,horsepower,kilobyte,megabyte,hertz,dollar,one,thousand,few,many,big,long,wide,REPUBLICAN,True,2,Independent
108,food,paycheck,girls,coastline,summers,achievements,assets,relationship,daughters,legacies,songs,weekends,sanctuary,friendships,victories,accomplishments,miracles,husbands,skies,winner,bonus,angel,trees,son,successes,diseases,foreclosures,debts,homicides,suicides,deficiencies,bankruptcies,confrontations,fugitives,assassinations,killer,fees,monsters,headstone,funerals,nightmares,rapists,attacker,difficulty,genocide,crime,prisons,failure,arguments,deaths,proposals,site,assessment,counterparts,region,proportions,instructions,delegation,particle,predecessors,payments,unit,bathrooms,spines,exception,dimension,affiliations,referrals,pantry,concession,pillars,departments,doors,locations,town,second,hour,month,year,century,foot,yard,kilometer,pound,kilogram,teaspoon,liter,gallon,watt,byte,gigabyte,hertz,dollar,one,hundred,some,many,small,long,narrow,DEMOCRAT,True,4,Democrat
109,foods,paychecks,girls,coastlines,summers,achievements,assets,relationships,daughters,legacies,song,weekends,sanctuaries,friendships,victories,accomplishments,miracles,husbands,skies,winners,bonuses,angels,trees,sons,successes,diseases,foreclosure,debts,homicides,suicides,deficiencies,bankruptcy,confrontation,fugitives,assassinations,killer,fees,monsters,headstones,funerals,nightmares,rapists,attackers,difficulties,genocide,crimes,prisons,failures,arguments,deaths,proposals,sites,assessments,counterparts,region,proportions,instruction,delegations,particles,predecessor,payments,units,bathrooms,spines,exceptions,dimensions,affiliations,referrals,pantry,concessions,pillars,departments,doors,locations,towns,minute,day,month,decade,century,foot,mile,kilometer,pound,kilogram,tablespoon,liter,quart,horsepower,byte,megabyte,hertz,cent,ten,thousand,few,many,big,long,narrow,REPUBLICAN,True,3,Other party (please specify)
111,foods,paychecks,girls,coastlines,summer,achievements,assets,relationships,daughters,legacies,songs,weekends,sanctuaries,friendships,victories,accomplishments,miracles,husbands,skies,winners,bonuses,angel,trees,sons,successes,disease,foreclosure,debt,homicides,suicides,deficiencies,bankruptcy,confrontations,fugitive,assassination,killer,fee,monster,headstone,funeral,nightmare,rapists,attacker,difficulty,genocide,crime,prison,failure,argument,death,proposals,sites,assessment,counterpart,regions,proportions,instructions,delegations,particles,predecessors,payments,units,bathroom,spines,exception,dimensions,affiliations,referrals,pantries,concessions,pillars,departments,doors,locations,towns,minute,day,month,decade,millenium,foot,yard,kilometer,pound,kilogram,tablespoon,liter,gallon,horsepower,kilobyte,gigabyte,gigahertz,dollar,ten,thousand,some,many,big,long,wide,DEMOCRAT,True,3,Democrat
114,foods,paycheck,girls,coastline,summer,achievements,asset,relationship,daughters,legacy,song,weekend,sanctuaries,friendship,victory,accomplishments,miracle,husband,sky,winner,bonuses,angel,tree,son,success,disease,foreclosure,debt,homicide,suicide,deficiency,bankruptcies,confrontation,fugitives,assassinations,killers,fees,monster,headstone,funeral,nightmare,rapist,attackers,difficulties,genocides,crimes,prisons,failure,argument,deaths,proposals,sites,assessments,counterpart,region,proportion,instruction,delegation,particle,predecessors,payment,units,bathrooms,spine,exceptions,dimensions,affiliation,referral,pantry,concessions,pillars,department,doors,locations,towns,second,hour,month,decade,millenium,inch,mile,centimeter,pound,kilogram,teaspoon,cup,gallon,watt,byte,gigabyte,hertz,dollar,one,hundred,some,many,small,short,wide,REPUBLICAN,True,1,Democrat
