ID,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,Condition,atc_passed,order
106,food,paycheck,girls,coastline,summers,achievements,assets,relationships,daughter,legacies,songs,weekend,sanctuaries,friendships,victories,accomplishments,miracles,husbands,sky,winners,bonus,angel,trees,son,successes,disease,foreclosure,debt,homicides,suicide,deficiencies,bankruptcy,confrontation,fugitive,assassinations,killers,fee,monsters,headstones,funerals,nightmare,rapists,attackers,difficulties,genocide,crimes,prison,failures,argument,deaths,proposal,sites,assessments,counterpart,regions,proportions,instruction,delegation,particles,predecessors,payment,units,bathroom,spine,exceptions,dimensions,affiliation,referrals,pantries,concession,pillars,departments,door,locations,town,second,day,week,decade,millenium,foot,yard,centimeter,ounce,kilogram,tablespoon,cup,gallon,watt,byte,megabyte,gigahertz,cent,one,thousand,few,several,big,long,narrow,NEGATIVE,True,2
100,foods,paychecks,girls,coastlines,summers,achievements,assets,relationships,daughters,legacies,songs,weekends,sanctuaries,friendships,victories,accomplishments,miracles,husbands,skies,winners,bonuses,angels,trees,sons,successes,diseases,foreclosures,debts,homicides,suicides,deficiencies,bankruptcies,confrontations,fugitives,assassinations,killers,fees,monsters,headstones,funerals,nightmares,rapists,attackers,difficulties,genocides,crimes,prisons,failures,arguments,deaths,proposals,sites,assessments,counterparts,regions,proportions,instructions,delegations,particles,predecessors,payments,units,bathrooms,spines,exceptions,dimensions,affiliations,referrals,pantries,concessions,pillars,departments,doors,locations,towns,minute,day,month,decade,millenium,foot,mile,kilometer,pound,kilogram,tablespoon,liter,gallon,horsepower,kilobyte,megabyte,gigahertz,dollar,ten,thousand,some,many,big,long,wide,POSITIVE,True,2
105,foods,paycheck,girl,coastline,summer,achievement,asset,relationship,daughters,legacy,-99,weekend,sanctuary,friendship,victory,accomplishments,miracle,husbands,skies,winner,bonus,angel,tree,sons,success,-99,foreclosures,debt,-99,suicide,deficiency,-99,confrontations,fugitive,assassinations,killers,-99,monster,headstones,funeral,nightmare,rapist,attacker,difficulty,genocide,crime,-99,failure,argument,deaths,-99,site,assessment,counterparts,-99,proportion,instruction,-99,-99,predecessor,payment,unit,bathroom,spine,exception,dimension,affiliation,-99,pantry,concession,pillar,departments,doors,-99,towns,-99,day,week,year,century,inch,-99,kilometer,pound,gram,tablespoon,liter,quart,watt,byte,megabyte,hertz,cent,ten,thousand,-99,several,small,short,wide,POSITIVE,False,4
113,food,paycheck,girl,coastlines,summer,achievements,assets,relationship,daughter,legacy,songs,weekends,sanctuaries,friendships,victory,accomplishments,miracle,husband,sky,winners,bonuses,angels,trees,son,successes,disease,foreclosure,debt,homicide,suicide,deficiencies,bankruptcy,confrontations,fugitive,assassination,killer,fee,monster,headstones,funeral,nightmare,rapist,attacker,difficulty,genocide,crime,prison,failures,argument,death,proposals,sites,assessment,counterpart,regions,proportion,instruction,delegation,particles,predecessors,payment,unit,bathroom,spine,exceptions,dimensions,affiliations,referral,pantry,concessions,pillars,department,doors,location,town,minute,day,month,year,century,foot,mile,kilometer,ounce,kilogram,teaspoon,liter,gallon,watt,kilobyte,gigabyte,gigahertz,dollar,ten,hundred,few,many,small,long,wide,POSITIVE,True,1
112,food,paycheck,girl,coastline,summer,achievement,asset,relationship,daughter,legacy,song,weekend,sanctuary,friendship,victory,accomplishment,miracle,husbands,skies,winner,bonus,angel,tree,son,success,diseases,foreclosures,debts,homicides,suicides,deficiencies,bankruptcies,confrontations,fugitive,assassinations,killers,fees,monsters,headstones,funerals,nightmares,rapists,attackers,difficulties,genocides,crimes,prisons,failures,arguments,deaths,proposal,site,assessments,counterpart,region,proportion,instructions,delegations,particle,predecessor,payment,unit,bathroom,spines,exception,dimension,affiliation,referral,pantry,concessions,pillar,department,door,location,town,second,hour,week,year,millenium,inch,yard,centimeter,ounce,gram,teaspoon,liter,quart,horsepower,byte,megabyte,hertz,cent,one,hundred,some,several,big,short,narrow,NEGATIVE,True,2
108,food,paychecks,girls,coastlines,summers,achievements,assets,relationships,daughters,legacy,songs,weekends,sanctuaries,friendships,victories,accomplishments,miracles,husbands,sky,winners,bonuses,angels,trees,son,successes,disease,foreclosure,debt,homicide,suicide,deficiencies,bankruptcy,confrontation,fugitive,assassinations,killers,fees,monster,headstones,funeral,nightmare,rapist,attacker,difficulty,genocide,crimes,prison,failure,argument,death,proposals,site,assessment,counterparts,regions,proportion,instruction,delegations,particles,predecessor,payments,units,bathrooms,spines,exceptions,dimensions,affiliations,referrals,pantries,concession,pillars,department,doors,locations,towns,minute,hour,month,decade,millenium,foot,yard,kilometer,pound,gram,tablespoon,liter,gallon,watt,kilobyte,megabyte,gigahertz,dollar,one,hundred,few,many,big,short,narrow,POSITIVE,True,2
110,food,paychecks,girl,coastline,summer,achievement,assets,relationships,daughter,legacy,songs,weekends,sanctuary,friendship,victories,accomplishment,miracle,husband,sky,winner,bonuses,angels,trees,sons,successes,disease,foreclosure,debt,homicide,suicide,deficiency,bankruptcy,confrontation,fugitive,assassination,killer,fees,monsters,headstones,funerals,nightmares,rapist,attacker,difficulty,genocide,crime,prison,failures,arguments,death,proposals,site,assessments,counterparts,region,proportions,instructions,delegation,particles,predecessors,payments,units,bathroom,spines,exception,dimensions,affiliations,referral,pantry,concessions,pillars,department,doors,location,towns,minute,day,month,year,century,foot,mile,kilometer,pound,kilogram,tablespoon,cup,gallon,horsepower,byte,megabyte,hertz,dollar,ten,thousand,some,many,big,long,wide,POSITIVE,True,2
111,foods,paycheck,girl,coastlines,summer,achievement,asset,relationship,daughter,legacy,song,weekends,sanctuaries,friendship,victory,accomplishment,miracle,husbands,skies,winner,bonus,angel,tree,son,success,diseases,foreclosures,debts,homicides,suicides,deficiencies,bankruptcies,confrontation,fugitives,assassinations,killers,fees,monster,headstones,funerals,nightmares,rapists,attackers,difficulties,genocides,crimes,prisons,failures,arguments,deaths,proposal,site,assessments,counterparts,regions,proportion,instructions,delegations,particle,predecessors,payment,units,bathrooms,spines,exceptions,dimension,affiliations,referral,pantries,concession,pillar,department,door,location,town,second,hour,week,year,century,foot,yard,centimeter,ounce,gram,teaspoon,cup,quart,watt,byte,megabyte,hertz,cent,one,hundred,some,several,small,long,narrow,NEGATIVE,True,2
109,food,paychecks,girls,coastlines,summers,achievements,asset,relationship,daughters,legacies,songs,weekend,sanctuary,friendships,victories,accomplishments,miracle,husband,sky,winners,bonus,angels,trees,sons,successes,disease,foreclosures,debts,homicides,suicide,deficiencies,bankruptcy,confrontations,fugitives,assassination,killer,fees,monster,headstones,funerals,nightmare,rapist,attackers,difficulties,genocides,crime,prisons,failures,argument,death,proposal,site,assessment,counterpart,region,proportion,instructions,delegations,particle,predecessor,payment,unit,bathrooms,spine,exception,dimension,affiliations,referral,pantries,concession,pillars,department,door,location,towns,minute,day,month,decade,century,foot,mile,centimeter,pound,kilogram,teaspoon,cup,gallon,watt,byte,gigabyte,hertz,cent,one,thousand,some,many,big,short,wide,POSITIVE,True,4
119,food,paycheck,girl,coastline,summer,achievement,asset,relationship,daughter,legacy,song,weekend,sanctuary,friendship,victory,accomplishment,miracle,husbands,sky,winner,bonus,angel,tree,son,success,diseases,foreclosures,debts,homicides,suicides,deficiencies,bankruptcies,confrontations,fugitive,assassinations,killer,fees,monsters,headstones,funerals,nightmares,rapists,attacker,difficulties,genocides,crimes,prisons,failures,arguments,deaths,proposals,site,assessments,counterpart,region,proportions,instructions,delegations,particle,predecessor,payments,unit,bathroom,spine,exceptions,dimension,affiliation,referral,pantry,concessions,pillar,department,door,location,town,minute,day,month,decade,millenium,foot,mile,kilometer,ounce,gram,teaspoon,cup,quart,watt,byte,megabyte,hertz,cent,one,hundred,few,many,small,long,narrow,NEGATIVE,True,2
