,Unnamed: 0,small,large,valence_sm,valence_lg,small_sig,large_sig
0,0,food,foods,7.52,,0.9552144371556684,0.7707997907107204
1,1,paycheck,paychecks,7.48,,0.6143675817956259,-0.23986324884753743
2,2,girl,girls,7.15,,-0.6233223950742809,0.15306354882555792
3,3,coastline,coastlines,7.5,,1.5156336282102658,2.0181339687394493
4,4,summer,summers,7.5,,0.0734112996051919,0.7082787061526622
5,5,achievement,achievements,7.28,,0.13599003546661625,0.18147923098964427
6,6,asset,assets,7.25,,0.11770160593407981,-0.127745558736212
7,7,relationship,relationships,7.83,,-0.10881992352805755,0.09263860715250286
8,8,daughter,daughters,6.73,,-0.06749920195380792,0.05465984476456334
9,9,legacy,legacies,7.38,,0.07334086460072316,1.5156336282102663
10,10,song,songs,7.59,,-0.026260150619004097,0.3636305347652162
11,11,weekend,weekends,7.17,,0.007883647270837214,-0.6542913732320462
12,12,sanctuary,sanctuaries,7.05,,-1.5385636661785465,-0.06932887251089001
13,13,friendship,friendships,7.76,,0.09520689950100047,-0.44784049576461993
14,14,victory,victories,7.59,,-0.3488319303821153,-0.0545318705828096
15,15,accomplishment,accomplishments,8.05,,-0.05083252889350071,-0.14352981435230705
16,16,miracle,miracles,7.3,,-1.1128305111474766,-2.317256385954476
17,17,husband,husbands,7.41,,-0.2993344779572129,-0.3063680698117396
18,18,sky,skies,7.32,,-0.5354139773801263,-0.2988107186336573
19,19,winner,winners,7.86,,-0.3025280488039207,-0.14111955557890024
20,20,bonus,bonuses,8.05,,-0.27577974997831634,-1.2859039672520238
21,21,angel,angels,7.71,,-0.9288476489610595,-1.1433294539546668
22,22,tree,trees,7.59,,-0.64495350865271,-1.072985896118979
23,23,son,sons,6.91,,-0.22055402307330504,-0.5347097574793737
24,24,success,successes,7.49,,-0.29406385033659876,-0.18605247881257267
25,25,disease,diseases,1.68,,0.4874194359072472,0.30409213635884613
26,26,foreclosure,foreclosures,1.75,,3.0658307107707463,3.454233083546123
27,27,debt,debts,1.95,,-0.3790883538446544,0.6392083133287988
28,28,homicide,homicides,1.5,,0.7329904596494158,1.362010439097054
29,29,suicide,suicides,1.58,,-0.1312394737618874,0.7472249863931789
30,30,deficiency,deficiencies,2.74,,1.9306711274891102,0.7571348724944187
31,31,bankruptcy,bankruptcies,2.52,,-0.3200249437814409,1.7082787061526623
32,32,confrontation,confrontations,2.57,,1.234451875666213,2.5156336282102663
33,33,fugitive,fugitives,2.74,,-1.002214676652353,1.8375617230976284
34,34,assassination,assassinations,1.83,,0.14479593284195752,0.7786680340440602
35,35,killer,killers,1.74,,0.05096536120682168,-0.8722920254513364
36,36,fee,fees,2.86,,0.23668473301309878,0.0011404296060274636
37,37,monster,monsters,2.55,,1.4254358192386878,-3.5287604911481876
38,38,headstone,headstones,2.45,,-2.5287604911481876,-1.06932887251089
39,39,funeral,funerals,2.07,,-0.5547556996811319,-0.5547556996811319
40,40,nightmare,nightmares,1.79,,-0.49586201062756335,-1.1848060899308261
41,41,rapist,rapists,1.3,,-1.8469364511744424,1.5536014784092869
42,42,attacker,attackers,2.23,,-0.7798222553159052,-0.5167878494821114
43,43,difficulty,difficulties,2.57,,-0.09734324868048669,0.0844764635681453
44,44,genocide,genocides,1.62,,-0.07579836784044777,3.738026049546714
45,45,crime,crimes,1.95,,-0.028591247121143373,0.011591122872677415
46,46,prison,prisons,1.94,,-0.26264253548458705,-0.32775402509209434
47,47,failure,failures,2.15,,0.1362459307652841,-0.6086945067919355
48,48,argument,arguments,2.62,,-0.1664077538511297,-0.3148758516158429
49,49,death,deaths,1.89,,-0.18651241188122905,0.5811572009298481
50,50,proposal,proposals,5.45,,0.7991206467935537,0.8994611681007592
51,51,site,sites,5.22,,-0.5734350462895796,0.2642810274241075
52,52,assessment,assessments,5.22,,0.2969427997726901,0.28234656577052425
53,53,counterpart,counterparts,5.38,,-0.8849043013734628,0.4105169223960518
54,54,region,regions,5.21,,0.1721577526545379,0.28504584486132967
55,55,proportion,proportions,5.2,,0.5827478240688031,0.111243373130931
56,56,instruction,instructions,5.22,,0.33784650899498336,-0.6986854925905
57,57,delegation,delegations,5.2,,0.03919558426727884,1.0681746512390449
58,58,particle,particles,5.24,,3.837561723097629,2.3901027461264075
59,59,predecessor,predecessors,5.11,,0.27290331883156105,0.24669862093678807
60,60,payment,payments,5.16,,-0.18646150610888768,0.01144725380404315
61,61,unit,units,5.29,,-0.32884879416844703,0.007292409092022536
62,62,bathroom,bathrooms,5.26,,0.05620200957296875,-0.2917212938473379
63,63,spine,spines,5.33,,-2.0235251828977656,-3.654291373232047
64,64,exception,exceptions,5.25,,0.2360595462265413,-0.024540950764052088
65,65,dimension,dimensions,5.24,,1.5936361402115393,-0.8062944666770963
66,66,affiliation,affiliations,5.32,,-0.18122175258178738,0.5827478240688033
67,67,referral,referrals,5.52,,-1.8398470263881228,-1.06932887251089
68,68,pantry,pantries,5.38,,-0.8430530166872141,5.5745273172638345
69,69,concession,concessions,5.32,,-1.6840387166260984,-1.0318541670922274
70,70,pillar,pillars,5.48,,-0.8107958589120371,-1.3547310913731387
71,71,department,departments,5.33,,-0.1555235007452213,-0.11715739760150498
72,72,door,doors,5.43,,-0.27931336322071587,-0.16597987618617882
73,73,location,locations,5.77,,-0.6065946312007503,-0.1733519370541184
74,74,town,towns,5.59,,-0.6661006755216796,0.23831083544406906
75,75,second,minute,5.23,5.5,,0.011405555306547337
76,76,hour,day,5.05,6.36,0.030158101651308018,-0.11093202909113258
77,77,week,month,5.27,5.78,0.06916211583966629,
78,78,year,decade,5.75,4.75,-0.16030721966915795,0.3736437666315637
79,79,century,millenium,5.36,,0.3588556363545734,
80,80,inch,foot,5.4,4.68,-0.5741210245480629,0.13760043143775338
81,81,yard,mile,5.7,4.78,-0.6815128419670705,-0.6074247681940723
82,82,centimeter,kilometer,,5.52,,
83,83,ounce,pound,5.65,4.62,0.5156336282102661,-0.3103369720146849
84,84,gram,kilogram,5.15,,,
85,85,teaspoon,tablespoon,5.25,,,
86,86,cup,liter,5.94,4.37,-0.009622626386622417,
87,87,quart,gallon,4.89,5.67,,-0.7482277739436161
88,88,watt,horsepower,,5.57,0.2785944309094167,
89,89,byte,kilobyte,,,,
