StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,DistributionChannel,UserLanguage,age,gender,gender_5_TEXT,Q13,Q4,Q4_4_TEXT,Q5,Q9,Q12_1,ID
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Distribution Channel,User Language,What is your age (please only use numbers of years)?,What gender do you identify with? - Selected Choice,What gender do you identify with? - Other (please specify) - Text,How strongly do you identify with your gender?,What is your party affiliation? - Selected Choice,What is your party affiliation? - Other party (please specify) - Text,How strongly do you identify with your party?,What is the highest level of education you have received?,What percent of your close friends and family share your political affiliation?,ID
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID2_5_TEXT""}","{""ImportId"":""QID14""}","{""ImportId"":""QID4""}","{""ImportId"":""QID4_4_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID9""}","{""ImportId"":""QID12_1""}","{""ImportId"":""ID""}"
10/19/18 11:13,10/19/18 11:14,IP Address,100,50,TRUE,10/19/18 11:14,anonymous,EN,24,Male,,7 (very much),Other party (please specify),no affiliation,7 (very much),Masters degree,3,105
10/19/18 11:13,10/19/18 11:14,IP Address,100,49,TRUE,10/19/18 11:14,anonymous,EN,21,Female,,7 (very much),Democrat,,2,Bachelors degree,64,106
10/19/18 11:13,10/19/18 11:15,IP Address,100,70,TRUE,10/19/18 11:15,anonymous,EN,22,Female,,7 (very much),Independent,,7 (very much),Bachelors degree,0,103
10/19/18 11:14,10/19/18 11:15,IP Address,100,89,TRUE,10/19/18 11:15,anonymous,EN,47,Male,,7 (very much),Independent,,7 (very much),Some college-No degree,93,100
10/19/18 11:14,10/19/18 11:18,IP Address,100,210,TRUE,10/19/18 11:18,anonymous,EN,57,Male,,7 (very much),Democrat,,4,High school graduate,16,107
10/19/18 12:19,10/19/18 12:20,IP Address,100,35,TRUE,10/19/18 12:20,anonymous,EN,22,Female,,7 (very much),Democrat,,5,Bachelors degree,100,111
10/19/18 12:19,10/19/18 12:20,IP Address,100,32,TRUE,10/19/18 12:20,anonymous,EN,24,Female,,6,Democrat,,2,Bachelors degree,72,108
10/19/18 12:19,10/19/18 12:20,IP Address,100,37,TRUE,10/19/18 12:20,anonymous,EN,24,Female,,6,Democrat,,5,Masters degree,51,112
10/19/18 12:19,10/19/18 12:20,IP Address,100,57,TRUE,10/19/18 12:20,anonymous,EN,55,Female,,3,Independent,,5,Masters degree,77,110
10/19/18 12:19,10/19/18 12:20,IP Address,100,59,TRUE,10/19/18 12:20,anonymous,EN,23,Male,,7 (very much),Other party (please specify),Liberitarian,5,Bachelors degree,50,109
10/19/18 12:19,10/19/18 12:20,IP Address,100,67,TRUE,10/19/18 12:20,anonymous,EN,30,Female,,6,Independent,,3,Masters degree,11,113
10/19/18 13:17,10/19/18 13:17,IP Address,100,32,TRUE,10/19/18 13:17,anonymous,EN,20,Male,,7 (very much),Democrat,,4,Some college-No degree,70,114
10/19/18 13:17,10/19/18 13:17,IP Address,100,42,TRUE,10/19/18 13:17,anonymous,EN,30,Male,,7 (very much),Independent,,7 (very much),Masters degree,30,116
10/19/18 13:17,10/19/18 13:17,IP Address,100,43,TRUE,10/19/18 13:17,anonymous,EN,45,Female,,7 (very much),Democrat,,7 (very much),Bachelors degree,71,115
10/19/18 13:17,10/19/18 13:17,IP Address,100,44,TRUE,10/19/18 13:17,anonymous,EN,22,Female,,7 (very much),Democrat,,1 (very little),Masters degree,91,118
10/19/18 13:17,10/19/18 13:18,IP Address,100,52,TRUE,10/19/18 13:18,anonymous,EN,43,Male,,7 (very much),Independent,,7 (very much),Associates degree,40,119
10/19/18 13:17,10/19/18 13:18,IP Address,100,98,TRUE,10/19/18 13:18,anonymous,EN,23,Female,,7 (very much),Democrat,,3,Bachelors degree,40,117
10/19/18 13:17,10/19/18 13:19,IP Address,100,120,TRUE,10/19/18 13:19,anonymous,EN,31,Male,,7 (very much),Independent,,6,Associates degree,60,120
10/19/18 14:09,10/19/18 14:10,IP Address,100,48,TRUE,10/19/18 14:10,anonymous,EN,18,Male,,7 (very much),Independent,,4,High school graduate,50,121
10/19/18 14:10,10/19/18 14:11,IP Address,100,40,TRUE,10/19/18 14:11,anonymous,EN,28,Male,,7 (very much),Independent,,2,Masters degree,60,122
10/19/18 14:11,10/19/18 14:11,Spam,100,26,TRUE,10/19/18 14:11,anonymous,EN,18,Male,,7 (very much),Independent,,4,High school graduate,50,121
10/19/18 15:02,10/19/18 15:03,IP Address,100,42,TRUE,10/19/18 15:03,anonymous,EN,21,Female,,7 (very much),Independent,,1 (very little),Bachelors degree,0,123
10/26/18 11:07,10/26/18 11:08,IP Address,100,32,TRUE,10/26/18 11:08,anonymous,EN,18,Female,,7 (very much),Independent,,7 (very much),Some college-No degree,50,125
10/26/18 11:07,10/26/18 11:08,IP Address,100,33,TRUE,10/26/18 11:08,anonymous,EN,18,Female,,7 (very much),Democrat,,7 (very much),Some college-No degree,95,128
10/26/18 11:07,10/26/18 11:08,IP Address,100,40,TRUE,10/26/18 11:08,anonymous,EN,31,Female,,7 (very much),Independent,,1 (very little),Bachelors degree,1,129
10/26/18 11:07,10/26/18 11:08,IP Address,100,43,TRUE,10/26/18 11:08,anonymous,EN,22,Female,,7 (very much),Democrat,,5,Some college-No degree,80,130
10/26/18 11:07,10/26/18 11:08,IP Address,100,46,TRUE,10/26/18 11:08,anonymous,EN,22,Male,,7 (very much),Independent,,4,Bachelors degree,70,131
