ID,DO-BR-FL_11,DO-BR-FL_31,DO-BR-FL_51,DO-BR-FL_64
ID,Display Order: Block Randomizer FL_11,Display Order: Block Randomizer FL_31,Display Order: Block Randomizer FL_51,Display Order: Block Randomizer FL_64
,FL_14|FL_19|FL_21|FL_16,FL_35|FL_41|FL_38,FL_61|FL_58,FL_71
,FL_14|FL_19|FL_16|FL_21,FL_38|FL_41|FL_35,FL_55|FL_61,FL_74
,FL_16|FL_19|FL_14|FL_21,FL_38|FL_41|FL_32,FL_52|FL_61,FL_74
987,FL_14|FL_16|FL_19|FL_21,FL_38|FL_41|FL_35,FL_55|FL_61,FL_74
105,FL_19|FL_14|FL_16|FL_21,FL_35|FL_38|FL_32,FL_58|FL_52,FL_65
106,FL_19|FL_14|FL_16|FL_21,FL_32|FL_35|FL_38,FL_58|FL_55,FL_68
108,FL_19|FL_16|FL_21|FL_14,FL_32|FL_38|FL_35,FL_55|FL_58,FL_71
109,FL_16|FL_19|FL_21|FL_14,FL_41|FL_32|FL_38,FL_58|FL_52,FL_65
111,FL_16|FL_14|FL_19|FL_21,FL_32|FL_41|FL_38,FL_58|FL_61,FL_74
114,FL_21|FL_19|FL_16|FL_14,FL_41|FL_35|FL_32,FL_52|FL_55,FL_68
119,FL_21|FL_19|FL_16|FL_14,FL_32|FL_35|FL_41,FL_61|FL_55,FL_68
120,FL_21|FL_16|FL_14|FL_19,FL_41|FL_32|FL_35,FL_52|FL_55,FL_68
118,FL_16|FL_21|FL_14|FL_19,FL_32|FL_41|FL_38,FL_58|FL_61,FL_74
116,FL_19|FL_16|FL_14|FL_21,FL_38|FL_35|FL_32,FL_55|FL_52,FL_65
122,FL_16|FL_19|FL_14|FL_21,FL_41|FL_38|FL_32,FL_52|FL_58,FL_71
121,FL_16|FL_19|FL_21|FL_14,FL_32|FL_38|FL_41,FL_58|FL_61,FL_74
123,FL_21|FL_14|FL_16|FL_19,FL_35|FL_41|FL_32,FL_61|FL_52,FL_65
131,FL_21|FL_16|FL_14|FL_19,FL_35|FL_32|FL_41,FL_61|FL_52,FL_65
128,FL_16|FL_21|FL_19|FL_14,FL_41|FL_38|FL_32,FL_58|FL_52,FL_65
130,FL_16|FL_14|FL_21|FL_19,FL_32|FL_41|FL_38,FL_58|FL_61,FL_74
103,FL_16|FL_19|FL_21|FL_14,FL_41|FL_32|FL_38,FL_52|FL_58,
107,FL_14|FL_16|FL_21|FL_19,,,
100,FL_16|FL_14|FL_19|FL_21,FL_32|FL_38|FL_41,FL_58|FL_61,
135,FL_16|FL_19|FL_14|FL_21,FL_38|FL_32|FL_41,FL_52|FL_61,FL_74
137,FL_21|FL_19|FL_14|FL_16,FL_41|FL_32|FL_35,FL_55|FL_52,FL_65
139,FL_21|FL_16|FL_14|FL_19,FL_41|FL_35|FL_32,FL_52|FL_55,FL_68
136,FL_16|FL_21|FL_14|FL_19,FL_32|FL_41|FL_38,FL_58|FL_61,FL_74
134,FL_19|FL_14|FL_21|FL_16,FL_32|FL_35|FL_38,FL_55|FL_58,FL_71
138,FL_16|FL_14|FL_19|FL_21,FL_32|FL_38|FL_41,FL_58|FL_61,FL_74
110,FL_21|FL_16|FL_19|FL_14,FL_32|FL_35|FL_41,FL_61|FL_55,
112,FL_21|FL_14|FL_19|FL_16,FL_32|FL_35|FL_41,FL_55|FL_61,
113,FL_14|FL_16|FL_19|FL_21,FL_38|FL_41|FL_35,FL_55|FL_61,
147,FL_19|FL_16|FL_14|FL_21,FL_38|FL_35|FL_32,FL_55|FL_52,FL_65
146,FL_14|FL_16|FL_21|FL_19,FL_38|FL_35|FL_41,FL_55|FL_61,FL_74
143,FL_16|FL_14|FL_19|FL_21,FL_38|FL_32|FL_41,FL_52|FL_61,FL_74
140,FL_21|FL_19|FL_14|FL_16,FL_41|FL_32|FL_35,FL_55|FL_52,FL_65
144,FL_21|FL_14|FL_16|FL_19,FL_41|FL_35|FL_32,FL_55|FL_52,FL_65
141,FL_21|FL_16|FL_19|FL_14,FL_35|FL_41|FL_32,FL_61|FL_52,FL_65
145,FL_14|FL_16|FL_19|FL_21,FL_38|FL_41|FL_35,FL_61|FL_55,FL_68
142,FL_16|FL_19|FL_14|FL_21,FL_32|FL_41|FL_38,FL_58|FL_61,FL_74
117,FL_19|FL_16|FL_14|FL_21,,,
115,FL_19|FL_21|FL_14|FL_16,FL_32|FL_38|FL_35,FL_55|FL_58,FL_71
122,,,,
121,,,,
149,FL_14|FL_19|FL_21|FL_16,FL_41|FL_38|FL_35,FL_58|FL_55,FL_68
152,FL_14|FL_19|FL_21|FL_16,FL_35|FL_41|FL_38,FL_61|FL_58,FL_71
148,FL_19|FL_16|FL_14|FL_21,FL_35|FL_32|FL_38,FL_52|FL_58,FL_71
153,FL_16|FL_21|FL_19|FL_14,FL_32|FL_38|FL_41,FL_61|FL_58,FL_71
159,FL_19|FL_14|FL_21|FL_16,FL_38|FL_35|FL_32,FL_52|FL_55,FL_68
156,FL_16|FL_21|FL_19|FL_14,FL_32|FL_38|FL_41,FL_58|FL_61,FL_74
160,FL_16|FL_21|FL_14|FL_19,FL_38|FL_41|FL_32,FL_52|FL_61,FL_74
