ID,101,102,105,107,110,113,114,116,119,120,128,130,135,139,140,141,143,145,147,149,150,151,154,156,158,159,166,167,170,174,175,181,182,185,186,190,191,194,197,199,Condition,order,atc_passed,ident
0,paycheck,girls,achievements,relationships,songs,friendships,victories,miracles,winners,bonuses,homicides,deficiency,killer,funerals,nightmares,rapist,difficulty,crime,failures,death,proposal,sites,regions,instructions,particles,predecessors,affiliations,referrals,pillars,towns,second,yard,kilometer,tablespoon,cup,gigabyte,gigahertz,thousand,big,narrow,DEMOCRAT,2,True,DEMOCRAT
1,paychecks,girls,achievements,relationships,song,friendships,victory,miracles,winners,bonuses,homicide,deficiencies,killer,funeral,nightmare,rapist,difficulty,crime,failure,death,proposals,site,regions,instructions,particle,predecessors,affiliations,referral,pillar,towns,minute,yard,kilometer,tablespoon,liter,gigabyte,hertz,thousand,big,wide,REPUBLICAN,2,True,REPUBLICAN
2,paycheck,girl,achievements,relationship,song,friendship,victory,miracles,winner,bonus,homicide,deficiency,killer,funeral,nightmare,rapist,difficulty,crime,failure,death,proposal,site,region,instruction,particle,predecessors,affiliation,referral,pillars,town,minute,mile,kilometer,tablespoon,liter,gigabyte,gigahertz,thousand,big,narrow,REPUBLICAN,1,True,REPUBLICAN
3,paycheck,girl,achievements,relationships,songs,friendships,victory,miracles,winners,bonuses,homicides,deficiency,killers,funeral,nightmares,rapists,difficulty,crimes,failures,death,proposals,sites,regions,instructions,particles,predecessors,affiliations,referrals,pillars,towns,second,mile,centimeter,tablespoon,cup,gigabyte,hertz,thousand,big,wide,REPUBLICAN,1,True,REPUBLICAN
4,paychecks,girl,achievements,relationship,song,friendship,victories,miracles,winners,bonuses,homicide,deficiencies,killer,funeral,nightmare,rapist,difficulty,crimes,failure,death,proposals,site,region,instructions,particle,predecessors,affiliations,referrals,pillars,towns,minute,mile,kilometer,tablespoon,cup,gigabyte,hertz,thousand,big,wide,REPUBLICAN,3,True,REPUBLICAN
5,paycheck,girl,achievements,relationships,song,friendship,victory,miracles,winners,bonuses,homicide,deficiencies,killers,funeral,nightmare,rapist,difficulty,crimes,failures,death,proposals,sites,region,instructions,particle,predecessors,affiliations,referrals,pillar,towns,second,mile,centimeter,teaspoon,liter,megabyte,hertz,hundred,big,wide,DEMOCRAT,2,True,DEMOCRAT
6,paycheck,girl,achievement,relationships,songs,friendship,victories,miracles,winners,bonus,homicide,deficiencies,killer,funeral,nightmares,rapist,difficulties,crimes,failures,deaths,proposal,sites,region,instruction,particle,predecessor,affiliation,referral,pillar,town,minute,mile,centimeter,tablespoon,cup,gigabyte,hertz,hundred,big,narrow,DEMOCRAT,1,True,DEMOCRAT
7,paychecks,girls,achievements,relationships,songs,friendships,victories,miracles,winners,bonuses,homicides,deficiencies,killers,funerals,nightmares,rapists,difficulties,crimes,failures,deaths,proposals,sites,regions,instructions,particles,predecessors,affiliations,referrals,pillars,towns,minute,mile,kilometer,tablespoon,liter,gigabyte,gigahertz,thousand,big,wide,REPUBLICAN,1,True,REPUBLICAN
8,paychecks,girl,achievements,relationships,songs,friendships,victories,miracles,winners,bonuses,homicides,deficiencies,killers,funerals,nightmare,rapists,difficulties,crime,failure,death,proposals,sites,regions,instruction,particles,predecessors,affiliations,referrals,pillars,towns,minute,mile,centimeter,tablespoon,cup,megabyte,gigahertz,thousand,big,wide,DEMOCRAT,3,True,DEMOCRAT
9,paychecks,girl,achievement,relationships,songs,friendships,victory,miracles,winners,bonuses,homicide,deficiency,killer,funeral,nightmare,rapist,difficulties,crime,failures,death,proposal,site,region,instructions,particles,predecessor,affiliation,referrals,pillar,town,minute,yard,centimeter,teaspoon,liter,gigabyte,hertz,hundred,small,narrow,DEMOCRAT,3,True,DEMOCRAT
10,paychecks,girls,achievements,relationships,songs,friendships,victories,miracle,winners,bonuses,homicide,deficiency,killers,funeral,nightmare,rapist,difficulty,crimes,failure,deaths,proposals,sites,region,instructions,particle,predecessor,affiliations,referral,pillars,town,second,mile,centimeter,teaspoon,liter,gigabyte,hertz,thousand,big,wide,DEMOCRAT,2,True,REPUBLICAN
11,paycheck,girl,achievement,relationship,song,friendship,victory,miracle,winner,bonus,homicides,deficiencies,killers,funerals,nightmares,rapists,difficulties,crimes,failures,deaths,proposal,site,region,instruction,particle,predecessors,affiliations,referral,pillar,towns,second,yard,centimeter,teaspoon,liter,megabyte,hertz,hundred,small,narrow,DEMOCRAT,2,True,REPUBLICAN
12,paychecks,girls,achievements,relationships,songs,friendships,victories,miracles,winner,bonuses,homicides,deficiencies,killer,funeral,nightmares,rapist,difficulty,crime,failure,death,proposal,site,region,instructions,particles,predecessor,affiliation,referrals,pillars,town,second,yard,kilometer,tablespoon,liter,megabyte,hertz,thousand,small,narrow,DEMOCRAT,3,True,DEMOCRAT
13,paychecks,girl,achievement,relationships,songs,friendships,victories,miracle,winner,bonuses,homicides,deficiencies,killers,funerals,nightmares,rapists,difficulties,crimes,failures,deaths,proposals,sites,regions,instructions,particles,predecessor,affiliations,referrals,pillars,towns,minute,mile,kilometer,tablespoon,liter,gigabyte,gigahertz,thousand,big,wide,REPUBLICAN,3,True,DEMOCRAT
14,paychecks,girls,achievements,relationships,songs,friendships,victories,miracles,winners,bonuses,homicides,deficiency,killers,funerals,nightmare,rapist,difficulty,crimes,failure,death,proposals,sites,regions,instructions,particles,predecessor,affiliations,referrals,pillar,towns,minute,mile,kilometer,tablespoon,liter,megabyte,gigahertz,thousand,big,wide,DEMOCRAT,1,True,DEMOCRAT
15,paycheck,girls,achievements,relationships,song,friendship,victory,miracle,winners,bonus,homicides,deficiency,killer,funerals,nightmare,rapist,difficulty,crime,failures,deaths,proposal,sites,regions,instruction,particle,predecessor,affiliation,referral,pillar,town,minute,mile,centimeter,teaspoon,cup,gigabyte,gigahertz,hundred,small,wide,REPUBLICAN,2,True,DEMOCRAT
16,paychecks,girls,achievements,relationships,song,friendships,victory,miracle,winners,bonus,homicides,deficiency,killers,funerals,nightmares,rapists,difficulties,crimes,failures,deaths,proposals,sites,regions,instructions,particle,predecessors,affiliations,referrals,pillars,towns,second,mile,centimeter,teaspoon,cup,gigabyte,hertz,thousand,small,narrow,REPUBLICAN,3,False,DEMOCRAT
