ID,101,102,105,107,110,113,114,116,119,120,128,130,135,139,140,141,143,145,147,149,150,151,154,156,158,159,166,167,170,174,175,181,182,185,186,190,191,194,197,199,Condition,order,atc_passed
0,paycheck,girl,achievements,relationships,song,friendship,victories,miracles,winners,bonuses,homicides,deficiency,killers,funeral,nightmares,rapists,difficulty,crime,failures,deaths,proposals,site,region,instruction,particles,predecessor,affiliations,referral,pillar,towns,minute,yard,kilometer,tablespoon,cup,megabyte,gigahertz,hundred,big,wide,NEGATIVE,1,True
1,paycheck,girl,achievement,relationship,song,friendship,victory,miracle,winners,bonus,homicides,deficiencies,killers,funerals,nightmares,rapists,difficulties,crimes,failures,deaths,proposals,site,region,instructions,particle,predecessor,affiliation,referrals,pillar,town,minute,yard,kilometer,tablespoon,liter,megabyte,gigahertz,thousand,small,narrow,NEGATIVE,3,True
2,paycheck,girl,achievement,relationship,song,friendship,victory,miracle,winner,bonus,homicides,deficiencies,killers,funerals,nightmares,rapists,difficulties,crimes,failures,deaths,proposal,site,region,instruction,particle,predecessor,affiliation,referral,pillar,town,second,yard,centimeter,teaspoon,cup,megabyte,hertz,hundred,small,narrow,NEGATIVE,3,True
3,paychecks,girls,achievements,relationships,songs,friendships,victories,miracles,winners,bonuses,homicide,deficiency,killer,funeral,nightmare,rapist,difficulty,crime,failure,death,proposals,sites,regions,instructions,particles,predecessors,affiliations,referrals,pillars,towns,minute,mile,centimeter,tablespoon,cup,-99,gigahertz,thousand,big,wide,POSITIVE,3,True
4,paychecks,girl,achievements,relationships,songs,friendships,victories,miracles,winners,bonuses,homicide,deficiency,killer,funeral,nightmare,rapist,difficulty,crime,failure,death,proposal,sites,region,instruction,particle,predecessor,affiliation,referrals,pillars,towns,minute,mile,kilometer,teaspoon,cup,megabyte,gigahertz,thousand,big,wide,POSITIVE,2,True
5,paycheck,girl,achievement,relationship,song,friendship,victory,miracles,winner,bonus,homicides,deficiencies,killers,funerals,nightmares,rapists,difficulties,crimes,failure,deaths,proposals,sites,region,instruction,particle,predecessors,affiliations,referrals,pillars,town,second,mile,centimeter,teaspoon,liter,gigabyte,hertz,hundred,small,narrow,NEGATIVE,1,True
6,paycheck,girls,achievements,relationship,song,friendship,victory,miracles,winner,bonus,homicides,deficiency,killer,funerals,nightmare,rapist,difficulty,crime,failures,deaths,proposals,sites,region,instruction,particles,predecessors,affiliations,referrals,pillars,town,second,mile,kilometer,teaspoon,liter,megabyte,hertz,hundred,big,narrow,POSITIVE,2,True
7,paycheck,girl,achievement,relationship,song,friendship,victory,miracle,winner,bonus,homicides,deficiencies,killers,funerals,nightmares,rapists,difficulties,crimes,failures,deaths,proposals,site,region,instructions,particle,predecessor,affiliation,referrals,pillars,town,minute,yard,centimeter,teaspoon,cup,megabyte,hertz,hundred,-99,narrow,NEGATIVE,2,True
8,paycheck,girl,achievement,relationship,song,friendship,victory,miracle,winner,bonus,homicide,deficiencies,killer,funeral,nightmare,rapist,difficulty,crimes,failure,death,proposal,site,region,instruction,particle,predecessor,affiliation,referral,pillar,town,second,yard,centimeter,teaspoon,liter,gigabyte,gigahertz,hundred,small,narrow,NEGATIVE,2,True
9,paycheck,girls,achievements,relationship,song,friendship,victory,miracle,winner,bonus,homicides,deficiency,killers,funerals,nightmares,rapists,difficulties,crimes,failures,deaths,proposal,sites,regions,instructions,particle,predecessors,affiliation,referral,pillar,towns,second,mile,centimeter,teaspoon,cup,megabyte,gigahertz,thousand,small,narrow,NEGATIVE,2,True
10,paychecks,girls,achievements,relationships,songs,friendships,victories,miracles,winners,bonuses,homicide,deficiency,killer,funeral,nightmare,rapist,difficulty,crime,failures,death,proposals,sites,regions,instructions,particles,predecessors,affiliations,referrals,pillar,towns,minute,mile,kilometer,tablespoon,cup,gigabyte,gigahertz,thousand,big,wide,POSITIVE,1,True
11,paycheck,girl,achievement,relationship,song,friendship,victory,miracle,winner,bonus,homicides,deficiencies,killers,funerals,nightmares,rapists,difficulties,crimes,failures,deaths,proposal,site,region,instruction,particle,predecessor,affiliations,referral,pillar,town,second,yard,centimeter,teaspoon,cup,megabyte,hertz,hundred,small,narrow,NEGATIVE,3,True
12,paychecks,girls,achievements,relationship,songs,friendships,victories,miracles,winners,-99,homicide,deficiency,killer,funeral,nightmare,rapist,difficulty,crime,failure,death,proposal,sites,regions,instructions,particles,predecessors,affiliation,referrals,pillars,town,minute,mile,centimeter,teaspoon,cup,gigabyte,gigahertz,thousand,small,narrow,POSITIVE,1,True
13,paychecks,girls,achievement,relationship,songs,friendship,victory,miracles,winners,bonus,homicide,deficiency,killer,funeral,nightmare,rapist,difficulty,crime,failure,death,proposal,site,region,instruction,particle,predecessor,affiliation,referrals,pillar,town,second,yard,centimeter,teaspoon,cup,gigabyte,gigahertz,hundred,big,narrow,POSITIVE,1,True
14,paychecks,girls,achievements,relationships,songs,friendships,victories,miracles,winners,bonuses,homicide,deficiency,killer,funeral,nightmare,rapist,difficulty,crime,failure,death,proposals,sites,regions,instructions,particles,predecessor,affiliation,referrals,pillar,towns,minute,mile,kilometer,tablespoon,liter,megabyte,hertz,thousand,big,wide,POSITIVE,3,True
15,paychecks,girl,achievements,relationships,song,friendships,victories,miracles,winner,bonuses,homicides,deficiency,killers,funerals,nightmares,rapist,difficulties,crimes,failures,deaths,proposals,site,regions,instructions,particle,predecessor,affiliation,referral,pillars,towns,minute,mile,centimeter,tablespoon,cup,gigabyte,gigahertz,hundred,small,wide,NEGATIVE,3,True
16,paycheck,girl,achievement,relationship,song,friendship,victories,miracle,winner,bonus,homicide,deficiencies,killer,funeral,nightmare,rapists,difficulty,crimes,failure,death,proposal,site,region,instructions,particle,predecessor,affiliation,referral,pillar,town,second,mile,centimeter,teaspoon,cup,megabyte,gigahertz,thousand,big,wide,POSITIVE,1,False
17,paychecks,girls,achievements,relationships,songs,friendships,victories,miracles,winners,bonuses,homicides,deficiencies,killers,funerals,nightmares,rapists,difficulties,crimes,failures,deaths,proposals,sites,regions,instructions,particles,predecessors,affiliations,referrals,pillars,towns,minute,yard,kilometer,tablespoon,liter,gigabyte,gigahertz,thousand,big,wide,NEGATIVE,1,True
18,paychecks,girl,achievement,relationships,songs,friendships,victory,miracle,winner,bonus,homicide,deficiencies,killers,funerals,nightmares,rapist,difficulties,crimes,failures,deaths,proposals,sites,region,instructions,particle,predecessor,affiliations,referrals,pillars,town,second,yard,kilometer,teaspoon,cup,gigabyte,hertz,thousand,small,wide,NEGATIVE,2,True
19,paychecks,girls,achievements,relationships,songs,friendships,victory,miracles,winners,bonuses,homicide,deficiency,killer,funeral,nightmare,rapist,difficulty,crime,failure,death,proposals,sites,regions,instructions,particles,predecessor,affiliations,referrals,pillar,towns,minute,mile,kilometer,tablespoon,liter,megabyte,hertz,thousand,big,wide,POSITIVE,1,True
20,paychecks,girl,achievements,relationships,songs,friendships,victories,miracles,winners,bonuses,homicide,deficiency,killer,funeral,nightmare,rapist,difficulty,crime,failure,death,proposal,site,regions,instructions,particles,predecessor,affiliations,referrals,pillar,towns,minute,mile,centimeter,tablespoon,cup,gigabyte,hertz,hundred,big,narrow,POSITIVE,3,True
21,paychecks,girl,achievement,relationships,song,friendship,victories,miracles,winners,bonuses,homicide,deficiency,killers,funerals,nightmare,rapists,difficulties,crimes,failures,deaths,proposals,sites,region,instruction,particles,predecessors,affiliations,referrals,pillars,towns,minute,mile,kilometer,tablespoon,cup,gigabyte,gigahertz,hundred,small,narrow,POSITIVE,2,False
22,paycheck,girl,achievement,relationships,song,friendships,victory,miracle,winners,bonuses,homicides,deficiency,killers,funerals,nightmares,rapists,difficulties,crimes,failures,deaths,proposals,sites,regions,instructions,particles,predecessor,affiliation,referrals,pillars,town,minute,yard,centimeter,tablespoon,cup,gigabyte,hertz,thousand,small,narrow,NEGATIVE,1,True
23,paycheck,girl,achievement,relationships,song,friendship,victory,miracle,winner,bonus,homicides,deficiency,killers,funerals,nightmares,rapists,difficulties,crimes,failures,deaths,proposals,sites,region,instructions,particles,predecessors,affiliations,referral,pillar,towns,second,yard,kilometer,teaspoon,liter,megabyte,hertz,hundred,big,wide,NEGATIVE,1,True
24,paychecks,girl,achievements,relationships,songs,friendships,victories,miracles,winners,bonus,homicide,deficiency,killers,funerals,nightmare,rapists,difficulties,crimes,failures,deaths,proposals,sites,regions,instructions,particle,predecessor,affiliation,referral,pillars,towns,minute,mile,centimeter,teaspoon,liter,megabyte,gigahertz,hundred,small,narrow,NEGATIVE,2,True
25,paychecks,girls,achievements,relationships,songs,friendships,victories,miracles,winners,bonuses,homicide,deficiency,killer,funeral,nightmare,rapist,difficulty,crime,failure,death,proposals,sites,regions,instructions,particle,predecessors,affiliation,referrals,pillar,towns,minute,mile,centimeter,tablespoon,cup,gigabyte,gigahertz,thousand,big,wide,POSITIVE,3,True
26,paycheck,girl,achievement,relationship,songs,friendships,victory,miracle,winners,bonus,homicide,deficiency,killer,funeral,nightmare,rapist,difficulty,crimes,failure,death,proposal,site,region,instruction,particles,predecessor,affiliation,referral,pillar,town,second,mile,kilometer,tablespoon,cup,megabyte,hertz,thousand,big,wide,NEGATIVE,1,False
27,paychecks,girl,achievements,relationships,song,friendships,victories,miracles,winners,bonuses,homicide,deficiency,killer,funeral,nightmare,rapist,difficulty,crime,failure,death,proposal,site,region,instructions,particles,predecessors,affiliations,referral,pillars,town,minute,mile,kilometer,tablespoon,cup,gigabyte,gigahertz,thousand,big,wide,POSITIVE,3,True
28,paychecks,girls,achievements,relationships,songs,friendships,victories,miracles,winners,bonuses,homicide,deficiency,killer,funeral,nightmare,rapist,difficulty,crime,failure,death,proposals,sites,regions,instructions,particles,predecessor,affiliations,referrals,pillars,town,minute,mile,kilometer,tablespoon,liter,megabyte,gigahertz,thousand,big,wide,POSITIVE,1,True
29,paycheck,girls,achievement,relationship,song,friendship,victory,miracle,winner,bonus,homicide,deficiency,killers,funerals,nightmares,rapists,difficulties,crimes,failure,death,proposals,site,regions,instruction,particle,predecessors,affiliations,referrals,pillar,town,minute,mile,centimeter,tablespoon,cup,megabyte,hertz,hundred,small,wide,NEGATIVE,1,True
30,paycheck,girl,achievement,relationship,song,friendship,victories,miracle,winner,bonus,homicides,deficiencies,killers,funerals,nightmares,rapists,difficulties,crimes,failures,deaths,proposal,site,region,instruction,particle,predecessor,affiliation,referral,pillar,town,minute,yard,centimeter,tablespoon,liter,megabyte,hertz,thousand,big,narrow,NEGATIVE,1,True
31,paycheck,girl,achievement,relationship,song,friendship,victory,miracle,winner,bonus,homicides,deficiencies,killers,funerals,nightmares,rapists,difficulties,crimes,failures,deaths,proposals,site,region,instruction,particle,predecessor,affiliation,referral,pillar,town,second,mile,kilometer,tablespoon,liter,gigabyte,gigahertz,thousand,small,narrow,NEGATIVE,2,True
32,paychecks,girls,achievements,relationships,songs,friendships,victories,miracles,winner,-99,homicides,deficiencies,killers,funerals,nightmares,rapists,difficulties,crimes,failures,deaths,proposals,sites,regions,instructions,particles,predecessors,affiliations,referrals,pillars,towns,minute,mile,kilometer,tablespoon,liter,gigabyte,gigahertz,thousand,big,wide,NEGATIVE,2,True
33,paycheck,girls,achievement,relationships,song,friendships,victory,miracle,winner,bonus,homicides,deficiencies,killers,funerals,nightmares,rapists,difficulties,crimes,failures,deaths,proposal,site,regions,instructions,particle,predecessor,affiliation,referrals,pillars,town,minute,mile,centimeter,teaspoon,cup,gigabyte,gigahertz,thousand,small,narrow,NEGATIVE,1,True
34,paychecks,girls,achievements,relationships,songs,friendships,victories,miracles,winners,bonuses,homicide,deficiency,killer,funeral,nightmare,rapist,difficulty,crime,failure,death,proposals,sites,regions,instructions,particles,predecessor,affiliations,referrals,pillars,towns,minute,mile,kilometer,tablespoon,liter,gigabyte,gigahertz,thousand,big,wide,POSITIVE,1,True
35,paycheck,girl,achievement,relationship,song,friendship,victory,miracle,winner,bonus,homicides,deficiency,killers,funerals,nightmares,rapists,difficulties,crimes,failures,deaths,proposal,site,region,instruction,particle,predecessor,affiliation,referral,pillar,town,second,yard,centimeter,teaspoon,cup,megabyte,hertz,hundred,small,narrow,NEGATIVE,3,True
36,paychecks,girl,achievement,relationship,song,friendship,victory,miracle,winners,bonus,homicide,deficiency,killer,funeral,nightmare,rapist,difficulty,crime,failure,death,proposal,sites,region,instruction,particles,predecessors,affiliation,referral,pillars,town,minute,mile,kilometer,tablespoon,liter,gigabyte,gigahertz,thousand,big,wide,POSITIVE,3,True
37,paychecks,girls,achievements,relationships,songs,friendships,victories,miracles,winners,bonuses,homicide,deficiency,killer,funeral,nightmare,rapist,difficulty,crime,failure,death,proposals,sites,region,instructions,particle,predecessor,affiliations,referrals,pillars,towns,minute,mile,kilometer,tablespoon,cup,gigabyte,gigahertz,thousand,big,wide,POSITIVE,3,True
38,paychecks,girls,achievements,relationship,songs,friendships,victories,miracles,winner,bonuses,homicide,deficiency,killer,funeral,nightmare,rapist,difficulty,crime,failure,death,proposals,sites,regions,instruction,particle,-99,affiliations,referrals,pillars,towns,minute,mile,kilometer,-99,liter,megabyte,gigahertz,thousand,big,wide,POSITIVE,2,True
39,paychecks,girl,achievements,relationship,song,friendship,victories,miracles,winners,bonuses,homicide,deficiency,killer,funeral,nightmare,rapist,difficulty,crime,failure,death,proposal,sites,region,instruction,particles,predecessor,affiliation,referrals,pillar,town,second,mile,centimeter,teaspoon,liter,gigabyte,hertz,thousand,big,narrow,POSITIVE,3,True
40,paychecks,girls,achievements,relationship,songs,friendship,victories,miracles,winners,bonuses,homicide,deficiencies,killer,funerals,nightmare,rapists,difficulty,crimes,failures,deaths,proposal,site,region,instruction,particles,predecessor,affiliation,referral,pillars,towns,second,yard,kilometer,teaspoon,cup,gigabyte,hertz,thousand,small,narrow,POSITIVE,2,False
41,paycheck,girl,achievement,relationships,song,friendship,victory,miracle,winner,bonus,homicides,deficiencies,killers,funeral,nightmares,rapists,difficulties,crimes,failures,death,proposal,site,regions,instruction,particle,predecessors,affiliations,referrals,pillar,town,second,yard,centimeter,teaspoon,cup,megabyte,gigahertz,hundred,small,narrow,NEGATIVE,1,True
42,paychecks,girls,achievements,relationships,songs,friendships,victories,miracles,winners,bonuses,homicide,deficiency,killer,funeral,nightmare,rapist,difficulty,crime,failures,death,proposal,site,region,instructions,particles,predecessor,affiliations,referrals,pillars,town,minute,mile,kilometer,tablespoon,cup,gigabyte,gigahertz,thousand,big,narrow,POSITIVE,1,True
43,paychecks,girl,achievement,relationship,song,friendships,victory,miracle,winner,bonus,homicides,deficiencies,killers,funeral,nightmare,rapists,difficulties,crimes,failures,deaths,proposal,sites,region,instruction,particle,predecessor,affiliation,referral,-99,town,minute,yard,centimeter,tablespoon,-99,megabyte,hertz,hundred,small,narrow,NEGATIVE,1,True
44,paychecks,girl,achievements,relationships,songs,friendships,victories,miracles,winners,bonuses,-99,deficiency,killer,funeral,-99,rapist,difficulty,crime,failure,death,proposals,sites,regions,instructions,particle,predecessor,affiliations,referrals,pillars,town,minute,mile,centimeter,tablespoon,liter,gigabyte,gigahertz,thousand,big,wide,POSITIVE,2,True
45,paycheck,girl,achievement,relationship,songs,friendship,-99,miracle,winner,bonus,homicides,deficiencies,killers,funerals,nightmares,rapists,difficulty,crimes,failures,death,proposal,site,region,instruction,particle,predecessor,affiliation,referral,pillar,town,second,yard,centimeter,teaspoon,cup,gigabyte,hertz,hundred,small,narrow,NEGATIVE,1,True
46,paycheck,girl,achievement,relationship,song,friendships,victory,miracle,winner,bonus,homicides,deficiency,killers,funerals,nightmares,rapists,difficulties,crimes,failure,death,proposal,site,regions,instruction,particle,predecessor,affiliation,referral,pillar,town,second,mile,kilometer,tablespoon,cup,gigabyte,gigahertz,thousand,small,narrow,NEGATIVE,2,True
47,paycheck,girl,achievement,relationship,songs,friendship,victory,miracle,winner,bonus,homicide,deficiencies,killers,funeral,nightmare,rapists,difficulties,crimes,failures,deaths,proposal,site,region,instructions,particle,predecessor,affiliation,referral,pillar,town,second,mile,kilometer,teaspoon,cup,megabyte,hertz,thousand,small,narrow,NEGATIVE,3,True
48,paychecks,girl,achievements,relationship,songs,friendship,victories,miracle,winner,bonuses,homicide,deficiency,killers,funeral,nightmare,rapist,difficulties,crime,failure,death,proposal,sites,regions,instruction,particle,predecessor,affiliations,referral,pillar,towns,minute,mile,centimeter,tablespoon,cup,megabyte,gigahertz,hundred,small,narrow,NEGATIVE,3,True
49,paychecks,girls,achievements,relationships,songs,friendships,victories,miracles,winners,bonuses,homicides,deficiencies,killers,funerals,nightmares,rapists,difficulties,crimes,failures,deaths,proposals,sites,regions,instructions,particles,predecessors,affiliations,referrals,pillars,towns,minute,mile,kilometer,tablespoon,liter,gigabyte,gigahertz,thousand,big,wide,POSITIVE,2,True
50,paychecks,girls,achievements,relationships,songs,friendships,victories,miracles,winners,bonuses,homicide,deficiency,killer,funeral,nightmare,rapist,difficulty,crime,failure,death,proposals,sites,regions,instruction,particles,predecessors,affiliations,referrals,pillars,towns,second,mile,kilometer,tablespoon,liter,gigabyte,gigahertz,thousand,big,wide,POSITIVE,2,True
51,paychecks,girls,achievements,relationships,songs,-99,victories,miracles,winners,bonuses,homicides,-99,killers,funerals,nightmares,rapists,difficulties,crimes,failures,deaths,proposals,sites,regions,instructions,particles,predecessors,affiliations,referrals,pillars,towns,minute,mile,kilometer,tablespoon,liter,megabyte,hertz,thousand,big,wide,POSITIVE,3,True
52,paycheck,girl,achievement,relationships,song,friendship,victory,miracle,winners,bonus,homicide,deficiency,killer,funeral,nightmare,rapist,difficulty,crime,failure,death,proposal,site,region,instruction,particle,predecessor,affiliation,referral,pillar,town,second,mile,centimeter,teaspoon,liter,megabyte,hertz,hundred,small,narrow,NEGATIVE,3,True
53,paycheck,girl,achievements,relationship,songs,friendship,victory,miracles,winners,bonuses,homicides,deficiency,killers,funeral,nightmare,rapist,difficulty,crimes,failure,death,proposals,sites,regions,instruction,particles,predecessor,affiliations,referrals,pillars,towns,minute,yard,kilometer,tablespoon,liter,megabyte,hertz,hundred,small,narrow,POSITIVE,2,True
54,paycheck,girl,achievement,relationship,song,friendship,victory,miracle,winner,bonus,homicide,deficiency,killer,funeral,nightmare,rapist,difficulty,crime,failure,death,proposal,site,region,instruction,particle,predecessor,affiliation,referral,pillar,town,second,yard,centimeter,teaspoon,cup,megabyte,hertz,hundred,small,narrow,NEGATIVE,2,True
55,paychecks,girls,achievement,relationships,songs,friendship,victory,miracle,winner,bonus,homicides,deficiency,killer,funeral,nightmare,rapist,difficulties,crimes,failure,death,proposal,site,regions,instruction,particle,predecessors,affiliation,referral,pillars,town,minute,mile,kilometer,tablespoon,liter,megabyte,hertz,thousand,big,narrow,POSITIVE,3,True
56,paychecks,girls,achievements,relationships,songs,friendship,victories,miracle,winners,bonus,homicides,deficiencies,killers,funerals,nightmares,rapists,difficulties,crimes,failures,deaths,proposal,sites,region,instructions,particles,predecessors,affiliation,referrals,pillar,towns,minute,mile,kilometer,tablespoon,cup,megabyte,gigahertz,thousand,small,wide,NEGATIVE,2,True
57,paychecks,girls,achievements,relationships,songs,friendships,victories,miracles,winners,bonuses,homicides,deficiencies,killers,funerals,nightmares,rapists,difficulties,crime,failures,deaths,proposals,sites,regions,instructions,particles,predecessors,affiliation,referrals,pillar,towns,second,mile,kilometer,teaspoon,liter,megabyte,hertz,thousand,small,narrow,NEGATIVE,3,True
58,paychecks,girls,achievements,relationship,songs,friendships,victories,miracles,winners,bonuses,homicides,deficiencies,killers,funerals,nightmares,rapists,difficulties,crimes,failures,deaths,proposals,sites,regions,instructions,particles,predecessors,affiliations,referrals,pillars,towns,minute,mile,kilometer,tablespoon,liter,megabyte,hertz,thousand,big,wide,NEGATIVE,3,True
59,paychecks,girls,achievements,relationships,songs,friendships,victories,miracles,winners,bonuses,homicide,deficiency,killer,funeral,nightmare,rapist,difficulty,crime,failure,death,proposals,sites,regions,instruction,particles,predecessors,affiliations,referrals,pillars,towns,minute,mile,kilometer,tablespoon,liter,gigabyte,gigahertz,thousand,big,wide,POSITIVE,2,True
60,paychecks,girls,achievements,relationship,songs,friendships,victories,miracle,winner,bonuses,homicides,deficiencies,killer,funeral,nightmares,rapists,difficulties,crimes,failure,death,proposal,sites,regions,instruction,particle,predecessors,affiliation,referral,pillar,towns,minute,mile,kilometer,teaspoon,cup,gigabyte,gigahertz,thousand,big,narrow,POSITIVE,2,False
61,paycheck,girl,achievements,relationship,songs,friendship,victories,miracles,winners,bonus,homicides,deficiencies,killers,funerals,nightmares,rapists,difficulties,crimes,failures,deaths,proposal,sites,region,instructions,particles,predecessor,affiliations,referrals,pillars,town,second,mile,centimeter,teaspoon,liter,gigabyte,gigahertz,hundred,small,wide,NEGATIVE,1,True
62,paychecks,girls,achievements,relationships,songs,friendships,victories,miracles,winner,bonuses,homicide,deficiency,killer,funeral,nightmare,rapist,difficulty,crime,failure,death,proposals,sites,regions,instructions,particles,predecessor,affiliation,referrals,pillar,town,minute,mile,centimeter,tablespoon,cup,gigabyte,gigahertz,hundred,small,narrow,POSITIVE,2,True
63,paychecks,girls,achievements,relationships,songs,friendships,victories,miracles,winners,bonuses,homicide,deficiencies,killer,funerals,nightmares,rapists,difficulties,crimes,failures,deaths,proposals,sites,regions,instructions,particle,predecessors,affiliations,referrals,pillars,towns,minute,mile,kilometer,tablespoon,liter,gigabyte,gigahertz,thousand,big,wide,POSITIVE,3,True
64,paycheck,girl,achievement,relationship,song,friendship,victory,miracle,winner,bonus,homicides,deficiencies,killers,funerals,nightmares,rapists,difficulties,crimes,failures,deaths,proposal,sites,regions,instruction,particle,predecessor,affiliation,referrals,pillar,town,minute,mile,centimeter,teaspoon,liter,gigabyte,hertz,hundred,small,narrow,NEGATIVE,3,True
65,paycheck,girl,achievements,relationships,song,friendships,victories,miracle,winner,bonus,homicides,deficiency,killer,funerals,nightmares,rapists,difficulty,crime,failures,deaths,proposal,site,regions,instructions,particles,predecessor,affiliations,referrals,pillars,town,second,mile,centimeter,tablespoon,liter,gigabyte,gigahertz,hundred,small,narrow,NEGATIVE,2,False
66,paycheck,girl,achievement,relationship,song,friendship,victory,miracle,winner,bonus,homicides,deficiencies,killers,funerals,nightmares,rapists,difficulties,crimes,failures,deaths,proposal,site,region,instruction,particle,predecessor,affiliation,referral,pillar,town,second,yard,-99,teaspoon,cup,megabyte,hertz,hundred,small,narrow,NEGATIVE,2,True
